,idx_vacancies,labels,name,prof_code,prof_name,prof_text,prof_type,sc,vac_text,vector_sim
189,11843.0,14.0,Программист С++,6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Технологии программирования",knowledge,0.03050447977245227,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
188,11843.0,14.0,Программист С++,6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Методологии и технологии проектирования и использования баз данных",knowledge,0.02779190761151531,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
209,11843.0,14.0,Программист С++,6.001,Программист,"Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Правила, алгоритмы и технологии создания тестовых наборов данных",knowledge,0.027495932581350673,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
191,30247.0,14.0,Программист Delphi (MS SQL),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними",knowledge,0.10114690900531949,опыт разработки многопоточных приложений на Delphi,TfIdf
68,30247.0,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Практическая работа в области разработки программного обеспечения не менее 3 лет,requirements_for_practical_experience,0.08879819076071381,опыт разработки многопоточных приложений на Delphi,TfIdf
51,30247.0,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Высшее образование,education_and_training_requirements,0.08106351910965662,опыт разработки многопоточных приложений на Delphi,TfIdf
52,30247.0,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Повышение квалификации,education_and_training_requirements,0.07729993262029543,опыт разработки многопоточных приложений на Delphi,TfIdf
21,30247.0,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Ведущий программист,posts,0.07692821725826393,опыт разработки многопоточных приложений на Delphi,TfIdf
221,16473.0,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия с внешней средой,knowledge,0.2917726377645723,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
222,16473.0,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2810143549358589,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
228,16473.0,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2190910557919322,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
227,16473.0,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Интерфейсы взаимодействия с внешней средой,knowledge,0.2189916323118981,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
162,16473.0,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,skills,0.20893687698442495,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
186,32297.0,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Синтаксис выбранного языка программирования, особенности программирования на этом языке, стандартные библиотеки языка программирования",knowledge,0.48888892947207707,"Знание языков программирования C, С++.",TfIdf
189,32297.0,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Технологии программирования",knowledge,0.30583204770221784,"Знание языков программирования C, С++.",TfIdf
133,32297.0,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Применять выбранные языки программирования для написания программного кода",skills,0.29749567344840583,"Знание языков программирования C, С++.",TfIdf
190,32297.0,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Особенности выбранной среды программирования и системы управления базами данных",knowledge,0.2628288593289265,"Знание языков программирования C, С++.",TfIdf
134,32297.0,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Использовать выбранную среду программирования и средства системы управления базами данных",skills,0.26012157076214637,"Знание языков программирования C, С++.",TfIdf
232,30148.0,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,"Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Возможности современных и перспективных средств разработки программных продуктов, технических средств",knowledge,0.1233370528833459,Участие в разработке и развитии наших продуктов для Android;,TfIdf
168,30148.0,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Выявлять соответствие требований заказчиков с существующими продуктами,skills,0.11445831517941375,Участие в разработке и развитии наших продуктов для Android;,TfIdf
166,30148.0,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Проводить оценку работоспособности программного продукта,skills,0.11115254412709503,Участие в разработке и развитии наших продуктов для Android;,TfIdf
110,30148.0,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Подключение программного продукта к компонентам внешней среды,activities,0.1052914248814472,Участие в разработке и развитии наших продуктов для Android;,TfIdf
165,30148.0,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Производить настройки параметров программного продукта и осуществлять запуск процедур сборки,skills,0.10528911102692773,Участие в разработке и развитии наших продуктов для Android;,TfIdf
58,18037.0,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий -,requirements_for_practical_experience,0.03635983941072454,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
7,18037.0,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.030468844526262678,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
32,18037.0,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Повышение квалификации,education_and_training_requirements,0.0300976686503863,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
6,18037.0,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.028905289322432505,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
31,18037.0,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.02847497213858393,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
7,13953.0,14.0,IOS разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.16150190631497147,Общение с заказчиком и командой Бекенд-программистов,TfIdf
6,13953.0,14.0,IOS разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.153214189797543,Общение с заказчиком и командой Бекенд-программистов,TfIdf
23,13953.0,14.0,IOS разработчик,6.001,Программист,Разработка требований и проектирование программного обеспечения Проектирование программного обеспечения Ведущий программист,posts,0.14090115812908496,Общение с заказчиком и командой Бекенд-программистов,TfIdf
19,13953.0,14.0,IOS разработчик,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Ведущий программист,posts,0.14057273159408623,Общение с заказчиком и командой Бекенд-программистов,TfIdf
11,13953.0,14.0,IOS разработчик,6.001,Программист,Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Программист,posts,0.13729720229638906,Общение с заказчиком и командой Бекенд-программистов,TfIdf
58,3411.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий -,requirements_for_practical_experience,0.0516324373122988,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
7,3411.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.04326698716156644,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
32,3411.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Повышение квалификации,education_and_training_requirements,0.04273990245894886,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
6,3411.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.04104667575880848,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
31,3411.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.04043560801539834,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
231,20312.0,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Возможности существующей программно-технической архитектуры,knowledge,0.2595251638650109,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
170,20312.0,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Проводить анализ исполнения требований,skills,0.18563695638524555,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
171,20312.0,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Вырабатывать варианты реализации требований,skills,0.17944389194436583,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
49,20312.0,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Высшее образование,education_and_training_requirements,0.16763308014339176,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
116,20312.0,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Согласование требований к программному обеспечению с заинтересованными сторонами,activities,0.16264909175652156,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
31,10786.0,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.13590952865045672,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
25,10786.0,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Формализация и алгоритмизация поставленных задач Среднее профессиональное образование,education_and_training_requirements,0.11405812899161812,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
37,10786.0,14.0,Ведущий разработчик .net,6.001,Программист,Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Среднее профессиональное образование,education_and_training_requirements,0.11250724016190983,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
29,10786.0,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Оформление программного кода в соответствии с установленными требованиями Среднее профессиональное образование,education_and_training_requirements,0.106454201822495,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
33,10786.0,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Проверка и отладка программного кода Среднее профессиональное образование,education_and_training_requirements,0.10023887628563208,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
191,26932.0,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними",knowledge,0.15692655612247877,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
73,26932.0,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Создание программного кода в соответствии с техническим заданием (готовыми спецификациями)",activities,0.13787591001186425,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
133,26932.0,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Применять выбранные языки программирования для написания программного кода",skills,0.13111123503750355,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
56,26932.0,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными -",requirements_for_practical_experience,0.1204182320234872,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
187,26932.0,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Методологии разработки программного обеспечения",knowledge,0.11573593565590715,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
222,27448.0,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2744422955162985,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
108,27448.0,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Оценка и согласование сроков выполнения поставленных задач,activities,0.2638227854587042,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
220,27448.0,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Методы и средства сборки модулей и компонент программного обеспечения,knowledge,0.2479733885462137,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
105,27448.0,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Разработка процедур сборки модулей и компонент программного обеспечения,activities,0.23771291513586965,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
162,27448.0,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,skills,0.22179036741382668,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
222,7989.0,14.0,Программист Java,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.14815120221596634,внутреннее тестирование ПО;,TfIdf
216,7989.0,14.0,Программист Java,6.001,Программист,"Проверка работоспособности и рефакторинг кода программного обеспечения Рефакторинг и оптимизация программного кода Внутренние нормативные документы, регламентирующие требования к программному коду, порядок отражения изменений в системе контроля версий",knowledge,0.13298758672401922,внутреннее тестирование ПО;,TfIdf
213,7989.0,14.0,Программист Java,6.001,Программист,"Проверка работоспособности и рефакторинг кода программного обеспечения Проверка работоспособности программного обеспечения Внутренние нормативные документы, регламентирующие порядок документирования результатов проверки работоспособности программного обеспечения",knowledge,0.12921312398608562,внутреннее тестирование ПО;,TfIdf
