function_id,text,id,part_type_id,ind
6,Разработка процедуры измерения требуемых характеристик программного обеспечения,90,4,89
6,Оценка и согласование сроков выполнения поставленных задач,91,4,90
7,Подготовка тестовых наборов данных в соответствии с выбранной методикой,92,4,91
7,Оценка и согласование сроков выполнения поставленных задач,93,4,92
8,Проверка работоспособности программного обеспечения на основе разработанных тестовых наборов данных,94,4,93
8,Оценка соответствия программного обеспечения требуемым характеристикам,95,4,94
8,Сбор и анализ полученных результатов проверки работоспособности программного обеспечения,96,4,95
8,Оценка и согласование сроков выполнения поставленных задач,97,4,96
9,Анализ программного кода на соответствие требованиям по читаемости и производительности,98,4,97
9,Внесение изменений в программный код и проверка его работоспособности,99,4,98
9,Оценка и согласование сроков выполнения поставленных задач,100,4,99
10,"Воспроизведение дефектов, зафиксированных в базе данных дефектов",101,4,100
10,Установление причин возникновения дефектов,102,4,101
10,Внесение изменений в программный код для устранения выявленных дефектов,103,4,102
10,Оценка и согласование сроков выполнения поставленных задач,104,4,103
11,Разработка и документирование программных интерфейсов,105,4,104
11,Разработка процедур сборки модулей и компонент программного обеспечения,106,4,105
11,Разработка процедур развертывания и обновления программного обеспечения,107,4,106
11,Разработка процедур миграции и преобразования (конвертации) данных,108,4,107
11,Оценка и согласование сроков выполнения поставленных задач,109,4,108
12,Процедуры сборки программных модулей и компонент в программный продукт,110,4,109
12,Подключение программного продукта к компонентам внешней среды,111,4,110
12,Проверка работоспособности выпусков программного продукта,112,4,111
12,"Внесение изменений в процедуры сборки модулей и компонент программного обеспечения, развертывания программного обеспечения, миграции и преобразования данных",113,4,112
12,Оценка и согласование сроков выполнения поставленных задач,114,4,113
13,Анализ возможностей реализации требований к программному обеспечению,115,4,114
13,Оценка времени и трудоемкости реализации требований к программному обеспечению,116,4,115
13,Согласование требований к программному обеспечению с заинтересованными сторонами,117,4,116
13,Оценка и согласование сроков выполнения поставленных задач,118,4,117
14,Разработка и согласование технических спецификаций на программные компоненты и их взаимодействие с архитектором программного обеспечения,119,4,118
14,Распределение заданий между программистами в соответствии с техническими спецификациями,120,4,119
14,Осуществление контроля выполнения заданий,121,4,120
14,Осуществление обучения и наставничества,122,4,121
14,Формирование и предоставление отчетности в соответствии с установленными регламентами,123,4,122
14,Оценка и согласование сроков выполнения поставленных задач,124,4,123
15,"Разработка, изменение и согласование архитектуры программного обеспечения с системным аналитиком и архитектором программного обеспечения",125,4,124
15,Проектирование структур данных,126,4,125
15,Проектирование баз данных,127,4,126
15,Проектирование программных интерфейсов,128,4,127
15,Оценка и согласование сроков выполнения поставленных задач,129,4,128
1,Использовать методы и приемы формализации задач,130,5,129
1,Использовать методы и приемы алгоритмизации поставленных задач,131,5,130
1,Использовать программные продукты для графического отображения алгоритмов,132,5,131
1,Применять стандартные алгоритмы в соответствующих областях,133,5,132
2,Применять выбранные языки программирования для написания программного кода,134,5,133
2,Использовать выбранную среду программирования и средства системы управления базами данных,135,5,134
2,Использовать возможности имеющейся технической и/или программной архитектуры,136,5,135
3,"Применять нормативные документы, определяющие требования к оформлению программного кода",137,5,136
3,Применять инструментарий для создания и актуализации исходных текстов программ,138,5,137
3,Применять имеющиеся шаблоны для составления технической документации,139,5,138
4,Использовать выбранную систему контроля версий,140,5,139
4,Использовать вспомогательные инструментальные программные средства для обработки исходного текста программного кода,141,5,140
4,"Выполнять действия, соответствующие установленному регламенту используемой системы контроля версий",142,5,141
5,Выявлять ошибки в программном коде,143,5,142
5,Применять методы и приемы отладки программного кода,144,5,143
5,"Интерпретировать сообщения об ошибках, предупреждения, записи технологических журналов",145,5,144
5,"Применять современные компиляторы, отладчики и оптимизаторы программного кода",146,5,145
6,Писать программный код процедур проверки работоспособности программного обеспечения на выбранном языке программирования,147,5,146
6,Использовать выбранную среду программирования для разработки процедур проверки работоспособности программного обеспечения на выбранном языке программирования,148,5,147
7,Разработка и оформление контрольных примеров для проверки работоспособности программного обеспечения,149,5,148
7,Разработка процедур генерации тестовых наборов данных с заданными характеристиками,150,5,149
7,"Подготовка наборов данных, используемых в процессе проверки работоспособности программного обеспечения",151,5,150
8,Применять методы и средства проверки работоспособности программного обеспечения,152,5,151
8,"Интерпретировать диагностические данные (журналы, протоколы и др.)",153,5,152
8,Анализировать значения полученных характеристик программного обеспечения,154,5,153
8,Документировать результаты проверки работоспособности программного обеспечения,155,5,154
9,"Применять методы, средства для рефакторинга и оптимизации",156,5,155
9,Применять инструментальные средства коллективной работы над программным кодом,157,5,156
9,Публиковать результаты рефакторинга и оптимизации в коллективной базе знаний в виде лучших практик,158,5,157
9,Использовать систему контроля версий для регистрации произведенных изменений,159,5,158
10,Применять методы и приемы отладки дефектного программного кода,160,5,159
10,"Интерпретировать сообщения об ошибках, предупреждения, записи технологических журналов, возникающих при выполнении дефектного кода",161,5,160
11,Писать программный код процедур интеграции программных модулей,162,5,161
11,Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,163,5,162
11,"Применять методы и средства сборки модулей и компонент программного обеспечения, разработки процедур для развертывания программного обеспечения, миграции и преобразования данных, создания программных интерфейсов",164,5,163
12,Выполнять процедуры сборки программных модулей и компонент в программный продукт,165,5,164
12,Производить настройки параметров программного продукта и осуществлять запуск процедур сборки,166,5,165
12,Проводить оценку работоспособности программного продукта,167,5,166
12,"Документировать произведенные действия, выявленные проблемы и способы их устранения",168,5,167
12,Выявлять соответствие требований заказчиков с существующими продуктами,169,5,168
12,"Создавать резервные копии программ и данных, выполнять восстановление, обеспечивать целостность программного продукта и данных",170,5,169
13,Проводить анализ исполнения требований,171,5,170
13,Вырабатывать варианты реализации требований,172,5,171
13,Проводить оценку и обоснование рекомендуемых решений,173,5,172
13,Осуществлять коммуникации с заинтересованными сторонами,174,5,173
14,Выбирать средства реализации требований к программному обеспечению,175,5,174
14,Вырабатывать варианты реализации программного обеспечения,176,5,175
14,Проводить оценку и обоснование рекомендуемых решений,177,5,176
14,Осуществлять коммуникации с заинтересованными сторонами,178,5,177
15,Использовать существующие типовые решения и шаблоны проектирования программного обеспечения,179,5,178
15,"Применять методы и средства проектирования программного обеспечения, структур данных, баз данных, программных интерфейсов",180,5,179
15,Осуществлять коммуникации с заинтересованными сторонами,181,5,180
1,Методы и приемы формализации задач,182,6,181
1,Языки формализации функциональных спецификаций,183,6,182
1,Методы и приемы алгоритмизации поставленных задач,184,6,183
1,Нотации и программные продукты для графического отображения алгоритмов,185,6,184
1,"Алгоритмы решения типовых задач, области и способы их применения",186,6,185
2,"Синтаксис выбранного языка программирования, особенности программирования на этом языке, стандартные библиотеки языка программирования",187,6,186
2,Методологии разработки программного обеспечения,188,6,187
2,Методологии и технологии проектирования и использования баз данных,189,6,188
2,Технологии программирования,190,6,189
2,Особенности выбранной среды программирования и системы управления базами данных,191,6,190
2,"Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними",192,6,191
3,Инструментарий для создания и актуализации исходных текстов программ,193,6,192
3,Методы повышения читаемости программного кода,194,6,193
3,"Системы кодировки символов, форматы хранения исходных текстов программ",195,6,194
3,"Нормативные документы, определяющие требования к оформлению программного кода",196,6,195
4,Возможности используемой системы контроля версий и вспомогательных инструментальных программных средств,197,6,196
4,Установленный регламент использования системы контроля версий,198,6,197
5,Методы и приемы отладки программного кода,199,6,198
5,"Типы и форматы сообщений об ошибках, предупреждений",200,6,199
5,"Способы использования технологических журналов, форматы и типы записей журналов",201,6,200
5,"Современные компиляторы, отладчики и оптимизаторы программного кода",202,6,201
5,Сообщения о состоянии аппаратных средств,203,6,202
6,Методы автоматической и автоматизированной проверки работоспособности программного обеспечения,204,6,203
6,Основные виды диагностических данных и способы их представления,205,6,204
6,"Языки, утилиты и среды программирования, и средства пакетного выполнения процедур",206,6,205
6,Типовые метрики программного обеспечения,207,6,206
6,Основные методы измерения и оценки характеристик программного обеспечения,208,6,207
7,Методы создания и документирования контрольных примеров и тестовых наборов данных,209,6,208
7,"Правила, алгоритмы и технологии создания тестовых наборов данных",210,6,209
7,Требования к структуре и форматам хранения тестовых наборов данных,211,6,210
8,Методы и средства проверки работоспособности программного обеспечения,212,6,211
8,Среда проверки работоспособности и отладки программного обеспечения,213,6,212
8,"Внутренние нормативные документы, регламентирующие порядок документирования результатов проверки работоспособности программного обеспечения",214,6,213
9,Методы и средства рефакторинга и оптимизации программного кода,215,6,214
9,Языки программирования и среды разработки,216,6,215
9,"Внутренние нормативные документы, регламентирующие требования к программному коду, порядок отражения изменений в системе контроля версий",217,6,216
9,"Внутренние нормативные документы, регламентирующие порядок отражения результатов рефакторинга и оптимизации в коллективной базе знаний",218,6,217
10,Методы и приемы отладки программного кода,219,6,218
10,"Типовые ошибки, возникающие при разработке программного обеспечения, и методы их диагностики и исправления",220,6,219
11,Методы и средства сборки модулей и компонент программного обеспечения,221,6,220
11,Интерфейсы взаимодействия с внешней средой,222,6,221
11,Интерфейсы взаимодействия внутренних модулей системы,223,6,222
11,Методы и средства разработки процедур для развертывания программного обеспечения,224,6,223
11,Методы и средства миграции и преобразования данных,225,6,224
11,"Языки, утилиты и среды программирования, средства пакетного выполнения процедур",226,6,225
12,Методы и средства сборки и интеграции программных модулей и компонент,227,6,226
12,Интерфейсы взаимодействия с внешней средой,228,6,227
12,Интерфейсы взаимодействия внутренних модулей системы,229,6,228
12,Методы и средства верификации работоспособности выпусков программных продуктов,230,6,229
12,"Языки, утилиты и среды программирования, средства пакетного выполнения процедур",231,6,230
13,Возможности существующей программно-технической архитектуры,232,6,231
13,"Возможности современных и перспективных средств разработки программных продуктов, технических средств",233,6,232
13,Методологии разработки программного обеспечения и технологии программирования,234,6,233
13,Методологии и технологии проектирования и использования баз данных,235,6,234
14,Языки формализации функциональных спецификаций,236,6,235
14,Методы и приемы формализации задач,237,6,236
14,Методы и средства проектирования программного обеспечения,238,6,237
14,Методы и средства проектирования программных интерфейсов,239,6,238
14,Методы и средства проектирования баз данных,240,6,239
15,Принципы построения архитектуры программного обеспечения и виды архитектуры программного обеспечения,241,6,240
15,"Типовые решения, библиотеки программных модулей, шаблоны, классы объектов, используемые при разработке программного обеспечения",242,6,241
15,Методы и средства проектирования программного обеспечения,243,6,242
15,Методы и средства проектирования баз данных,244,6,243
15,Методы и средства проектирования программных интерфейсов,245,6,244
16,Оператор почтовой связи III класса,246,1,245
17,Оператор почтовой связи III класса,247,1,246
18,Оператор почтовой связи III класса,248,1,247
19,Оператор почтовой связи II класса,249,1,248
20,Оператор почтовой связи II класса,250,1,249
21,Оператор почтовой связи II класса,251,1,250
22,Оператор почтовой связи II класса,252,1,251
23,Оператор почтовой связи II класса,253,1,252
24,Оператор почтовой связи I класса,254,1,253
25,Оператор почтовой связи I класса,255,1,254
26,Оператор почтовой связи I класса,256,1,255
27,Оператор почтовой связи I класса,257,1,256
28,Оператор почтовой связи I класса,258,1,257
29,Начальник отделения почтовой связи,259,1,258
30,Начальник отделения почтовой связи,260,1,259
31,Начальник отделения почтовой связи,261,1,260
32,Начальник отделения почтовой связи,262,1,261
33,Начальник отделения почтовой связи,263,1,262
34,Начальник отделения почтовой связи,264,1,263
35,Начальник отделения почтовой связи,265,1,264
36,Начальник отделения почтовой связи,266,1,265
16,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,267,2,266
17,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,268,2,267
18,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,269,2,268
19,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,270,2,269
20,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,271,2,270
21,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,272,2,271
22,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,273,2,272
23,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,274,2,273
24,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",275,2,274
25,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",276,2,275
26,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",277,2,276
27,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",278,2,277
28,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",279,2,278
29,Среднее профессиональное образование ,280,2,279
29,Дополнительные профессиональные программы - программы профессиональной переподготовки в области почтовой связи,281,2,280
30,Среднее профессиональное образование ,282,2,281
30,Дополнительные профессиональные программы - программы профессиональной переподготовки в области почтовой связи,283,2,282
31,Среднее профессиональное образование ,284,2,283
31,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",285,2,284
32,Среднее профессиональное образование ,286,2,285
32,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",287,2,286
33,Среднее профессиональное образование ,288,2,287
33,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",289,2,288
34,Среднее профессиональное образование ,290,2,289
34,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",291,2,290
35,Среднее профессиональное образование ,292,2,291
35,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",293,2,292
36,Среднее профессиональное образование ,294,2,293
36,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",295,2,294
16,-,296,3,295
17,-,297,3,296
18,-,298,3,297
19,Не менее трех месяцев на должности оператора почтовой связи III класса,299,3,298
20,Не менее трех месяцев на должности оператора почтовой связи III класса,300,3,299
21,Не менее трех месяцев на должности оператора почтовой связи III класса,301,3,300
22,Не менее трех месяцев на должности оператора почтовой связи III класса,302,3,301
23,Не менее трех месяцев на должности оператора почтовой связи III класса,303,3,302
24,Не менее пяти месяцев на должности оператора почтовой связи II класса,304,3,303
25,Не менее пяти месяцев на должности оператора почтовой связи II класса,305,3,304
26,Не менее пяти месяцев на должности оператора почтовой связи II класса,306,3,305
27,Не менее пяти месяцев на должности оператора почтовой связи II класса,307,3,306
28,Не менее пяти месяцев на должности оператора почтовой связи II класса,308,3,307
29,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",309,3,308
30,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",310,3,309
31,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",311,3,310
32,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",312,3,311
33,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",313,3,312
34,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",314,3,313
35,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",315,3,314
36,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",316,3,315
16,"Проверка правильности упаковки, веса, допустимого вложения, суммы оценки и написания адреса, сверка информации в описи",317,4,316
16,"Упаковка почтовых отправлений, наклеивание штрихкодового почтового идентификатора, взвешивание и определение тарифа",318,4,317
16,"Оформление операции приема почтовых отправлений на почтово-кассовом терминале, выдача клиенту чека или квитанции",319,4,318
16,Оформление таможенной декларации при отправке международного почтового отправления,320,4,319
