id,code,name,general_function_id,qualification_level
32,F/02.5,Контроль доставки печатной продукции до адресата,10,5
33,F/03.5,Контроль предоставления дополнительных услуг отделением почтовой связи,10,5
34,F/04.5,Контроль оказания почтово-банковских услуг отделением почтовой связи,10,5
35,F/05.5,Организация и контроль деятельности работников отделения почтовой связи,10,5
36,F/06.5,Подготовка отчетности отделения почтовой связи,10,5
37,A/01.4,Определение перечня возможных типов для каждого компонента,11,4
38,A/02.4,Определение перечня возможных архитектур развертывания каждого компонента,11,4
39,A/03.4,Определение перечня возможных слоев программных компонентов,11,4
40,A/04.4,Определение перечня возможных шаблонов (стилей) проектирования для каждого слоя или компонента,11,4
41,A/05.4,"Определение функциональных характеристик и возможностей, включая эксплуатационные, физические характеристики и условия окружающей среды, при которых будет применяться каждый компонент",11,4
42,A/06.4,Определение перечня возможных протоколов взаимодействия компонентов,11,4
43,A/07.4,Определение перечня возможных механизмов авторизации,11,4
44,A/08.4,"Определение перечня возможных механизмов аутентификации, поддержки сеанса",11,4
45,A/09.4,Определение перечня возможных схем кеширования,11,4
46,A/10.4,"Создание спецификаций безопасности, включая те спецификации, которые относятся к методам функционирования и сопровождения, влиянию окружающей среды и ущербу для персонала",11,4
47,A/11.4,Определение перечня возможных моделей обеспечения отказоустойчивости программных компонентов,11,4
48,A/12.4,"Определение перечня возможных моделей обеспечения необходимого уровня производительности компонентов, включая вопросы балансировки нагрузки",11,4
49,A/13.4,Определение входных-выходных данных каждого компонента и программного средства в целом,11,4
50,A/14.4,Определение структуры данных каждого компонента и программного средства в целом,11,4
51,A/15.4,"Описание технологии обработки данных для возможности их использования в программном средстве, включая вопросы параллельной обработки",11,4
52,A/16.4,Определение перечня возможных технологий доступа к данным,11,4
53,A/17.4,"Описание алгоритмов компонентов, включая методы и схемы",11,4
54,A/18.4,Создание требований к обслуживающему программное средство персоналу,11,4
55,B/01.4,Разработка документации программных средств в своей части,12,4
56,B/02.4,Поддержка изменений в документации,12,4
57,C/01.4,"Анализ качества кода:
- анализ зависимостей;
- статический анализ кода",13,4
58,C/02.4,Испытания создаваемого программного средства и его компонентов,13,4
59,C/03.4,Технические и управленческие ревизии создаваемого программного средства,13,4
60,D/01.5,Оценка возможности тестирования требований,14,5
61,D/02.5,Оценка осуществимости функционирования и сопровождения программного средства,14,5
62,D/03.5,"Оценка архитектуры с точки зрения прослеживаемости требований:
- согласованность с системными требованиями;
- приспособленность стандартов и методов проектирования;
- осуществимость функционирования и сопровождения;
- осуществимость программных составных частей, полностью удовлетворяющих назначенным требованиям",14,5
63,D/04.5,Анализ на критичность изменения требований проекта,14,5
64,E/01.5,Синтез требований к программному продукту и декомпозиция программного средства на компоненты,15,5
65,E/02.5,Определение качественных характеристик каждого компонента,15,5
66,E/03.5,Оценка и выбор типа каждого компонента,15,5
67,E/04.5,Оценка и выбор архитектуры развертывания каждого компонента,15,5
68,E/05.5,Оценка и выбор слоев программных компонентов,15,5
69,E/06.5,Оценка и выбор шаблонов (стилей) проектирования для каждого слоя или компонента,15,5
70,E/07.5,Определение внешних-внутренних интерфейсов каждого из компонентов,15,5
71,E/08.5,"Оценка и выбор механизмов аутентификации, поддержки сеанса",15,5
72,E/09.5,Оценка и выбор механизмов авторизации,15,5
73,E/10.5,Оценка и выбор схемы кеширования,15,5
74,E/11.5,Проектная оценка надежности компонентов программного средства,15,5
75,E/12.5,Оценка и выбор стиля написания кода,15,5
76,E/13.5,Оценка и выбор модели управления исключениями,15,5
77,E/14.5,Оценка и выбор модели управления и мониторинга критически важных событий,15,5
78,E/15.5,Оценка и выбор модели обеспечения отказоустойчивости программных компонентов,15,5
79,E/16.5,"Создание спецификации по защите, включая спецификации, связанные с угрозами для чувствительной информации",15,5
80,E/17.5,Оценка и выбор технологии доступа к данным,15,5
81,E/18.5,Корректировка системных требований в части необходимых инфраструктурных ресурсов,15,5
82,E/19.5,Постановка задачи на разработку компонентов,15,5
83,E/20.5,Определение стандартов для разработки документации,15,5
84,F/01.5,Идентификация и регистрация возможных проблем из-за деталей реализации компонентов программных средств,16,5
85,F/02.5,Координация процесса создания и сборки программного средства из компонентов,16,5
86,G/01.5,Разрешение инцидентов в рамках своих компетенций,17,5
87,G/02.5,"Идентификация возможных проблем, путей их решения",17,5
88,G/03.5,Разработка решений для повторного использования компонентов,17,5
89,H/01.6,Оценка возможности создания архитектурного проекта программного средства,18,6
90,H/02.6,Определение целей архитектуры программного средства,18,6
91,H/03.6,Определение ключевых сценариев для архитектуры программного средства,18,6
92,I/01.6,Согласование с заказчиком версии архитектуры программного средства,19,6
93,I/02.6,"Техническое исследование возможных вариантов архитектуры компонентов, включающее описание вариантов и технико-экономическое обоснование выбранного варианта",19,6
94,I/03.6,"Выбор модели обеспечения необходимого уровня производительности компонентов, включая вопросы балансировки нагрузки",19,6
95,I/04.6,Выбор протоколов взаимодействия компонентов,19,6
96,I/05.6,"Выбор технологий и средств разработки программного обеспечения, включая системы управления исходным кодом",19,6
97,K/01.6,Разработка планов модернизации программного продукта,20,6
98,K/02.6,Изменение окружения программного продукта,20,6
99,A/01.4,Подготовка выполнения рабочего задания,21,4
100,A/02.4,Подготовка тестовых данных в соответствии с рабочим заданием,21,4
101,A/03.4,Выполнение процесса тестирования,21,4
102,A/04.4,Регистрация дефектов в системе контроля (базах данных),21,4
103,A/05.4,Тестирование сопроводительной документации на соответствие требованиям заказчика,21,4
104,B/01.5,"Определение и описание тестовых случаев, включая разработку автотестов",22,5
105,B/02.5,Проведение тестирования по разработанным тестовым случаям,22,5
106,B/03.5,"Восстановление тестов после сбоев, повлекших за собой нарушение работы системы",22,5
107,B/04.5,Анализ результатов тестирования,22,5
108,B/05.5,Проверка исправленных дефектов в порядке их приоритета,22,5
109,B/06.5,Предоставление результатов тестирования руководителю группы (отдела) тестировщиков,22,5
110,B/07.5,Деятельность по обучению младших тестировщиков,22,5
111,C/01.6,Оценка требований исходной документации,23,6
112,C/02.6,Определение требований к тестам,23,6
113,C/03.6,"Разработка тестовых документов, включая план тестирования",23,6
114,C/04.6,Оценка тестов,23,6
115,C/05.6,Подбор персонала совместно с руководителем подразделения и специалистом соответствующей службы,23,6
116,C/06.6,Проведение обучения тестировщиков,23,6
117,D/01.6,Выявление приоритетных функций для покрытия тестирования,24,6
118,D/02.6,Утверждение с аналитиком (и/или руководителем проекта) требований заказчика,24,6
119,D/03.6,Формирование и утверждение стратегии тестирования,24,6
120,D/04.6,Организация рабочего процесса команды специалистов по тестированию (включая оценку трудозатрат),24,6
121,D/05.6,Мониторинг работ и информирование о ходе работ заинтересованных лиц,24,6
122,D/06.6,"Проведение интервью, оценка технических знаний кандидата на замещение вакансии",24,6
123,A/01.6,"Наладка, настройка, регулировка и испытания радиоэлектронных средств и оборудования",25,6
124,A/02.6,"Тестирование, обслуживание и обеспечение бесперебойной работы радиоэлектронных средств и радиоэлектронных систем различного назначения",25,6
125,A/03.6,"Подготовка документации на ремонт радиоэлектронного оборудования, контроль технического состояния оборудования, поступившего из ремонта",25,6
126,A/04.6,Организация профилактических работ на радиоэлектронном оборудовании,25,6
127,A/05.6,Инвентаризация радиоэлектронных средств и вспомогательного оборудования,25,6
128,A/06.6,Обеспечение организационно-методической базы для обслуживания радиоэлектронных средств и оборудования,25,6
129,B/01.7,"Разработка и согласование технических заданий на проектирование технических условий, программ и методик испытаний радиоэлектронных устройств и систем",26,7
130,B/02.7,"Разработка структурных и функциональных схем радиоэлектронных систем и комплексов, принципиальных схем устройств с использованием средств компьютерного проектирования, проведением проектных расчетов и технико-экономическим обоснованием принимаемых решений",26,7
131,B/03.7,"Подготовка конструкторской и технической документации, включая инструкции по эксплуатации, программы испытаний и технические условия",26,7
132,B/04.7,"Наладка, испытания и сдача в эксплуатацию опытных образцов радиоэлектронных устройств и систем",26,7
133,C/01.8,Анализ научно-технической проблемы на основе подбора и изучения литературных и патентных источников,27,8
134,C/02.8,Математическое и компьютерное моделирование радиоэлектронных устройств и систем с целью оптимизации (улучшения) их параметров,27,8
135,C/03.8,"Разработка методов приема, передачи и обработки сигналов, обеспечивающих рост технических характеристик радиоэлектронной аппаратуры",27,8
136,C/04.8,"Проведение аппаратного макетирования и экспериментальных работ по проверке достижимости технических характеристик, планируемых при проектировании радиоэлектронной аппаратуры",27,8
137,C/05.8,"Контроль соответствия разрабатываемых проектов и технической документации стандартам, техническим условиям и другим нормативным документам",27,8
138,A/01.6,Эксплуатация коммутационных подсистем и сетевых платформ,28,6
139,A/02.6,Развитие коммутационных подсистем и сетевых платформ,28,6
140,B/01.6,Эксплуатация сетей радиодоступа,29,6
141,B/02.6,Развитие сетей радиодоступа,29,6
142,C/01.6,Эксплуатация транспортных сетей и сетей передачи данных,30,6
143,C/02.6,Развитие транспортных сетей и сетей передачи данных,30,6
144,C/03.6,Развитие спутниковых систем связи,30,6
145,A/01.6,"Предпроектная подготовка и разработка системного проекта объекта (системы) связи, телекоммуникационной системы",31,6
146,A/02.6,"Разработка технического и рабочего проекта объекта (системы) связи, телекоммуникационной системы",31,6
147,A/03.6,Осуществление авторского надзора за соблюдением утвержденных проектных решений,31,6
148,B/01.6,Проектирование систем станций подвижной радиосвязи,32,6
149,B/02.6,Проектирование транспортной сети подвижной радиосвязи,32,6
150,A/01.7,Разработка макета ресурса,33,7
151,A/02.7,Отбор иллюстративных материалов,33,7
152,B/01.7,Руководство производственным отделом,34,7
153,B/02.7,Распределение материалов между отделами,34,7
154,B/03.7,Прием выполненной работы,34,7
155,A/01.6,Регистрация и обработка обращений абонентов,35,6
156,A/02.6,Контроль выполнения заявок на техническую поддержку оборудования,35,6
157,A/03.6,Работа с информационными системами и базами данных,35,6
158,B/01.6,"Техническая поддержка контакт-центров, решений IP-телефонии унифицированных телекоммуникаций различных производителей",36,6
159,B/02.6,Проверка качества предоставляемых услуг,36,6
160,B/03.6,"Сбор, анализ и обработка статистической информации по работе с телекоммуникационным оборудованием",36,6
161,C/01.7,Установка и настройка программного обеспечения телекоммуникационного оборудования,37,7
162,C/02.7,Устранение неполадок в работе сетевых сервисов и телефонии,37,7
163,D/01.7,Администрирование корпоративных сетей,38,7
164,D/02.7,Протоколирование работы телекоммуникационного оборудования,38,7
165,D/03.7,Конфигурирование телекоммуникационного оборудования и телефонии для вновь создаваемых узлов сети,38,7
166,D/04.7,Мониторинг корпоративных сетей,38,7
167,D/05.7,Информационная поддержка региональных специалистов по коммуникационному оборудованию и сетевым технологиям,38,7
168,A/01.4,Резервное копирование БД,39,4
169,A/02.4,Восстановление БД,39,4
170,A/03.4,Управление доступом к БД,39,4
171,A/04.4,Установка и настройка программного обеспечения (ПО) для обеспечения работы пользователей с БД,39,4
172,A/05.4,Установка и настройка ПО для администрирования БД,39,4
173,A/06.4,"Мониторинг событий, возникающих в процессе работы БД",39,4
174,A/07.4,"Протоколирование событий, возникающих в процессе работы БД",39,4
175,B/01.5,"Мониторинг работы БД, сбор статистической информации о работе БД",40,5
176,B/02.5,"Оптимизация распределения вычислительных ресурсов, взаимодействующих с БД",40,5
177,B/03.5,Оптимизация производительности БД,40,5
178,B/04.5,"Оптимизация компонентов вычислительной сети, взаимодействующих с БД",40,5
179,B/05.5,Оптимизация выполнения запросов к БД,40,5
180,B/06.5,"Оптимизация управления жизненным циклом данных, хранящихся в БД",40,5
181,C/01.5,Разработка регламентов резервного копирования БД,41,5
182,C/02.5,Контроль выполнения регламента резервного копирования,41,5
183,C/03.5,Разработка стратегии резервного копирования БД,41,5
184,C/04.5,Разработка регламентов восстановления БД,41,5
185,C/05.5,Разработка автоматических процедур для создания резервных копий БД,41,5
186,C/06.5,Проведение процедуры восстановления данных после сбоя,41,5
187,C/07.5,Контроль соблюдения регламента восстановления,41,5
188,C/08.5,Анализ сбоев в работе БД и выявление их причин,41,5
189,C/09.5,Разработка методических инструкций по сопровождению БД,41,5
190,C/10.5,Мониторинг работы программно-аппаратного обеспечения БД,41,5
191,C/11.5,Настройка работы программно-аппаратного обеспечения БД,41,5
192,C/12.5,Подготовка предложений по модернизации программно-аппаратных средств поддержки БД,41,5
193,C/13.5,Прогнозирование и оценка рисков сбоев в работе БД,41,5
194,C/14.5,Разработка автоматических процедур для горячего резервирования БД,41,5
195,C/15.5,Выполнение процедур по вводу в рабочий режим ресурсов горячей замены,41,5
196,C/16.5,Подготовка отчетов о функционировании БД,41,5
197,C/17.5,Консультирование пользователей в процессе эксплуатации БД,41,5
198,C/18.5,Подготовка предложений по повышению квалификации сотрудников,41,5
199,D/01.6,Разработка политики информационной безопасности на уровне БД,42,6
200,D/02.6,Контроль соблюдения регламентов по обеспечению безопасности на уровне БД,42,6
201,D/03.6,Оптимизация работы систем безопасности с целью уменьшения нагрузки на работу БД,42,6
202,D/04.6,Разработка регламентов и аудит системы безопасности данных,42,6
203,D/05.6,Подготовка отчетов о состоянии и эффективности системы безопасности на уровне БД,42,6
204,D/06.6,Разработка автоматизированных процедур выявления попыток несанкционированного доступа к данным,42,6
205,E/01.7,"Анализ системных проблем обработки информации на уровне БД, подготовка предложений по перспективному развитию БД",43,7
206,E/02.7,Разработка регламентов обновления версий программного обеспечения БД,43,7
207,E/03.7,Разработка регламентов по миграции БД на новые платформы и новые версии ПО,43,7
208,E/04.7,"Изучение, освоение и внедрение в практику администрирования новых технологий работы с БД",43,7
209,E/05.7,Контроль обновления версий БД,43,7
210,E/06.7,Контроль миграции БД на новые платформы и новые версии ПО,43,7
211,E/07.7,Планирование организационной структуры подразделения и развития кадрового потенциала,43,7
212,A/01.4,Сопровождение продуктовых исследований,44,4
213,A/02.4,Разработка требований к продукту,44,4
214,A/03.4,"Сопровождение дизайна, разработки и выпуска обновлений продукта",44,4
215,A/04.4,Сопровождение разработки планов развития и продвижения продукта,44,4
216,A/05.4,Поддержка продаж продукта,44,4
217,B/01.5,Управление продуктовыми исследованиями,45,5
218,B/02.5,"Определение продукта, управление дизайном и требованиями к продукту",45,5
219,B/03.5,Создание и регулирование плана развития продукта,45,5
220,B/04.5,"Заказ разработки продукта, контроль ее хода и приемка продукта",45,5
221,B/05.5,Координация планов разработки и продвижения продуктов и согласованной работы соответствующих подразделений,45,5
222,B/06.5,Планирование и организация вывода продукта и его обновлений на рынок,45,5
223,B/07.5,Экспертное сопровождение и анализ продаж продукта,45,5
224,B/08.5,Управление показателями успешности и развитием продукта,45,5
225,B/09.5,Организация вывода продукта с рынка,45,5
226,C/01.6,Заказ и анализ результатов технологических исследований в интересах серии продуктов,46,6
227,C/02.6,"Разработка бизнес-планов, ценовой политики и стратегии развития серии продуктов",46,6
228,C/03.6,Заключение партнерских соглашений и развитие отношений с партнерами,46,6
229,C/04.6,Управление бюджетом серии продуктов,46,6
230,C/05.6,Управление группой менеджеров продуктов,46,6
231,C/06.6,Продвижение продуктов серии,46,6
232,C/07.6,"Заказ и контроль выполнения программы проектов по созданию, развитию, выводу на рынок и продажам продуктов серии",46,6
233,C/08.6,"Управление патентами на технологии, создаваемые в рамках продуктов",46,6
234,C/09.6,"Разработка предложений по приобретению и продаже технологических, продуктовых и прочих интеллектуальных активов и организаций",46,6
235,D/01.7,Управление исследованиями новых рынков,47,7
236,D/02.7,Управление портфелем продуктов,47,7
237,D/03.7,Развитие процессов и практик управления продуктами и их интеграции с остальными процессами организации,47,7
238,D/04.7,Подбор и прием на работу менеджеров продуктов и управление их деятельностью,47,7
239,D/05.7,"Организация продажи и покупки активов, способствующих увеличению успешности портфеля продуктов",47,7
240,A/01.4,Ввод и обработка текстовых данных,48,4
241,A/02.4,Сканирование и обработка графической информации,48,4
242,A/03.4,Ведение информационных баз данных,48,4
243,A/04.4,Размещение информации на сайте,48,4
244,B/01.5,Поиск информации по тематике сайта,49,5
245,B/02.5,Написание информационных материалов для сайта,49,5
246,B/03.5,Редактирование информации на сайте,49,5
247,B/04.5,Ведение новостных лент и представительств в социальных сетях,49,5
248,B/05.5,"Модерирование обсуждений на сайте, в форуме и социальных сетях",49,5
249,B/06.5,Нормативный контроль содержания сайта,49,5
250,C/01.6,Организация работ по созданию и редактированию контента,50,6
251,C/02.6,Управление информацией из различных источников,50,6
252,C/03.6,Контроль за наполнением сайта,50,6
253,C/04.6,Локальные изменения структуры сайта,50,6
254,C/05.6,Анализ информационных потребностей посетителей сайта,50,6
255,C/06.6,Подготовка отчетности по сайту,50,6
256,C/07.6,Поддержка процессов модернизации и продвижения сайта,50,6
257,A/01.6,Управление качеством ресурсов ИТ,51,6
258,A/02.6,Управление ИТ-инфраструктурой,51,6
259,A/03.6,Управление расходами на ИТ,51,6
260,A/04.6,Управление изменениями ресурсов ИТ,51,6
261,A/05.6,Управление отношениями с поставщиками и потребителями ресурсов ИТ,51,6
262,A/06.6,"Управление персоналом, обслуживающим ресурсы ИТ",51,6
263,A/07.6,Управление информационной безопасностью ресурсов ИТ,51,6
264,B/01.7,Управление договорами об уровне предоставления сервисов ИТ,52,7
265,B/02.7,Управление ИТ-проектами,52,7
266,B/03.7,Управление моделью предоставления сервисов ИТ,52,7
267,B/04.7,Управление изменениями сервисов ИТ,52,7
268,B/05.7,Управление отношениями с пользователями и поставщиками сервисов ИТ,52,7
269,B/06.7,"Управление персоналом, осуществляющим предоставление сервисов ИТ",52,7
270,B/07.7,Управление непрерывностью сервисов ИТ,52,7
271,C/01.8,Управление стратегией ИТ,53,8
272,C/02.8,Управление программами и портфелями ИТ-проектов,53,8
273,C/03.8,Управление формированием и внедрением системы показателей оценки эффективности ИТ,53,8
274,C/04.8,Управление изменениями информационной среды,53,8
275,C/05.8,информации,53,8
276,C/06.8,"Управление персоналом, обслуживающим и развивающим информационную среду",53,8
277,C/07.8,Управление рисками ИТ,53,8
278,D/01.9,Управление формированием вклада ИТ в создание и реализацию инновационной стратегии,54,9
279,D/02.9,Управление выявлением и внедрением ИТ-инноваций,54,9
280,D/03.9,Управление оценкой эффективности ИТ-инноваций,54,9
281,D/04.9,Управление знаниями с помощью ИТ,54,9
282,D/05.9,Управление взаимоотношениями с заинтересованными лицами,54,9
283,D/06.9,"Управление персоналом, обеспечивающим инновации ИТ",54,9
284,D/07.9,Управление рисками инновационного отставания в ИТ,54,9
285,A/01.4,Сбор данных для выявления требований к типовой ИС в соответствии с трудовым заданием,55,4
286,A/02.4,Разработка прототипов ИС в соответствии с трудовым заданием,55,4
287,A/03.4,Кодирование на языках программирования в соответствии с трудовым заданием,55,4
288,A/04.4,Модульное тестирование ИС (верификация) в соответствии с трудовым заданием,55,4
289,A/05.4,Интеграционное тестирование ИС (верификация) в соответствии с трудовым заданием,55,4
290,A/06.4,Исправление дефектов и несоответствий в коде ИС и документации к ИС в соответствии с трудовым заданием,55,4
291,A/07.4,Техническое обеспечение процесса обучения пользователей ИС,55,4
292,A/08.4,Развертывание рабочих мест ИС у заказчика,55,4
293,A/09.4,"Установка и настройка системного и прикладного ПО, необходимого для функционирования ИС в соответствии с трудовым заданием",55,4
294,A/10.4,"Настройка оборудования, необходимого для работы ИС в соответствии с трудовым заданием",55,4
295,A/11.4,Интеграция ИС с существующими ИС у заказчика в соответствии с трудовым заданием,55,4
296,A/12.4,Проведение физических аудитов в области качества в соответствии с трудовым заданием,55,4
297,A/13.4,Демонстрация заказчику выполнения его требований к ИС в соответствии с трудовым заданием,55,4
298,A/14.4,Идентификация конфигурации ИС в соответствии с трудовым заданием,55,4
299,A/15.4,Представление отчетности по статусу конфигурации в соответствии с трудовым заданием,55,4
300,A/16.4,Проведение физических аудитов конфигурации ИС в соответствии с трудовым заданием,55,4
301,A/17.4,"Инженерно-техническая поддержка заключения договоров на выполняемые работы, связанные с ИС в соответствии с трудовым заданием",55,4
302,A/18.4,Регистрация запросов заказчика в соответствии с трудовым заданием,55,4
303,A/19.4,Инженерно-техническая поддержка заключения договоров сопровождения ИС в соответствии с трудовым заданием,55,4
304,A/20.4,Закрытие запросов заказчика в соответствии с трудовым заданием,55,4
305,A/21.4,Распространение информации о выполненном задании,55,4
306,B/01.5,Определение первоначальных требований заказчика к ИС и возможности их реализации в типовой ИС на этапе предконтрактных работ,56,5
307,B/02.5,Инженерно-техническая поддержка подготовки коммерческого предложения заказчику на создание (модификацию) и ввод в эксплуатацию типовой ИС на этапе предконтрактных работ,56,5
308,B/03.5,Планирование коммуникаций с заказчиком в рамках типовых регламентов организации,56,5
309,B/04.5,Распространение информации о ходе выполнения работ,56,5
310,B/05.5,Управление ожиданиями заказчика,56,5
311,B/06.5,Адаптация бизнес-процессов заказчика к возможностям типовой ИС,56,5
312,B/07.5,Выявление требований к типовой ИС,56,5
313,B/08.5,Согласование и утверждение требований к типовой ИС,56,5
314,B/09.5,Разработка прототипов ИС на базе типовой ИС,56,5
315,B/10.5,Кодирование на языках программирования,56,5
316,B/11.5,Модульное тестирование ИС (верификация),56,5
317,B/12.5,Интеграционное тестирование ИС (верификация),56,5
318,B/13.5,Исправление дефектов и несоответствий в коде ИС и документации к ИС,56,5
319,B/14.5,Создание пользовательской документации к модифицированным элементам типовой ИС,56,5
320,B/15.5,Обучение пользователей ИС,56,5
321,B/16.5,Развертывание серверной части ИС у заказчика,56,5
322,B/17.5,"Установка и настройка системного и прикладного ПО, необходимого для функционирования ИС",56,5
323,B/18.5,"Настройка оборудования, необходимого для работы ИС",56,5
324,B/19.5,Интеграция ИС с существующими ИС заказчика,56,5
325,B/20.5,Определение необходимости внесения изменений,56,5
326,B/21.5,Проведение аудитов качества в соответствии с планами проведения аудита,56,5
327,B/22.5,Проведение приемо-сдаточных испытаний (валидации) ИС в соответствии с установленными регламентами,56,5
328,B/23.5,Техническая поддержка закупок,56,5
329,B/24.5,Идентификация конфигурации ИС в соответствии с регламентами организации,56,5
330,B/25.5,Представление отчетности по статусу конфигурации в соответствии с регламентами организации,56,5
331,B/26.5,Проведение аудита конфигураций в соответствие с полученным планом аудита,56,5
332,B/27.5,"Инженерно-техническая поддержка заключения договоров на выполняемые работы, связанные с ИС",56,5
333,B/28.5,"Мониторинг выполнения договоров на выполняемые работы, связанные с ИС",56,5
334,B/29.5,"Инженерно-техническая поддержка заключения дополнительных соглашений к договорам на выполняемые работы, связанные с ИС",56,5
335,B/30.5,"Закрытие договоров на выполняемые работы, связанные с ИС, в соответствии с трудовым заданием",56,5
336,B/31.5,Регистрация запросов заказчика к типовой ИС в соответствии с регламентами организации,56,5
337,B/32.5,Инженерно-техническая поддержка заключения договоров сопровождения ИС,56,5
338,B/33.5,Обработка запросов заказчика по вопросам использования типовой ИС,56,5
339,B/34.5,"Инициирование работ по реализации запросов, связанных с использованием типовой ИС",56,5
340,B/35.5,Закрытие запросов заказчика в соответствии с регламентами организации,56,5
341,B/36.5,Согласование документации,56,5
342,C/01.6,Определение первоначальных требований заказчика к ИС и возможности их реализации в ИС на этапе предконтрактных работ,57,6
343,C/02.6,"Инженерно-техническая поддержка подготовки коммерческого предложения заказчику на поставку, создание (модификацию) и ввод в эксплуатацию ИС на этапе предконтрактных работ",57,6
344,C/03.6,Планирование коммуникаций с заказчиком в проектах создания (модификации) и ввода ИС в эксплуатацию,57,6
345,C/04.6,Идентификация заинтересованных сторон проекта,57,6
346,C/05.6,Распространение информации о ходе выполнения работ по проекту,57,6
347,C/06.6,Управление заинтересованными сторонами проекта,57,6
348,C/07.6,Документирование существующих бизнес-процессов организации заказчика (реверс-инжиниринг бизнес-процессов организации),57,6
349,C/08.6,Разработка модели бизнес-процессов заказчика,57,6
350,C/09.6,Адаптация бизнес-процессов заказчика к возможностям ИС,57,6
351,C/10.6,Инженерно-технологическая поддержка планирования управления требованиями,57,6
352,C/11.6,Выявление требований к ИС,57,6
353,C/12.6,Анализ требований,57,6
354,C/13.6,Согласование и утверждение требований к ИС,57,6
355,C/14.6,Разработка архитектуры ИС,57,6
356,C/15.6,Разработка прототипов ИС,57,6
357,C/16.6,Проектирование и дизайн ИС,57,6
358,C/17.6,Разработка баз данных ИС,57,6
359,C/18.6,Организационное и технологическое обеспечение кодирования на языках программирования,57,6
360,C/19.6,Организационное и технологическое обеспечение модульного тестирования ИС (верификации),57,6
361,C/20.6,Организационное и технологическое обеспечение интеграционного тестирования ИС (верификации),57,6
362,C/21.6,"Исправление дефектов и несоответствий в архитектуре и дизайне ИС, подтверждение исправления дефектов и несоответствий в коде ИС и документации к ИС",57,6
363,C/22.6,Создание пользовательской документации к ИС,57,6
364,C/23.6,Методологическое обеспечение обучения пользователей ИС,57,6
365,C/24.6,Развертывание ИС у заказчика,57,6
366,C/25.6,Разработка технологий интеграции ИС с существующими ИС у заказчика,57,6
367,C/26.6,Оптимизация работы ИС,57,6
368,C/27.6,Определение порядка управления изменениями,57,6
369,C/28.6,Анализ запросов на изменение,57,6
370,C/29.6,Согласование запросов на изменение с заказчиком,57,6
371,C/30.6,Проверка реализации запросов на изменение в ИС,57,6
372,C/31.6,Управление доступом к данным,57,6
373,C/32.6,Контроль поступления оплат по договорам за выполненные работы,57,6
374,C/33.6,Реализация процесса обеспечения качества в соответствии с регламентами организации,57,6
375,C/34.6,Реализация процесса контроля качества в соответствии с регламентами организации,57,6
376,C/35.6,Организация приемо-сдаточных испытаний (валидации) ИС,57,6
377,C/36.6,Осуществление закупок,57,6
378,C/37.6,Идентификация конфигурации ИС,57,6
379,C/38.6,Ведение отчетности по статусу конфигурации,57,6
380,C/39.6,Осуществление аудита конфигураций,57,6
381,C/40.6,Организация репозитория хранения данных о создании (модификации) и вводе ИС в эксплуатацию,57,6
382,C/41.6,Управление сборкой базовых элементов конфигурации ИС,57,6
383,C/42.6,"Организация заключения договоров на выполняемые работы, связанных с ИС",57,6
384,C/43.6,Мониторинг и управление исполнением договоров на выполняемые работы,57,6
