id,function_id,text,part_type_id
71,1,Составление формализованных описаний решений поставленных задач в соответствии с требованиями технического задания или других принятых в организации нормативных документов,4
72,1,Разработка алгоритмов решения поставленных задач в соответствии с требованиями технического задания или других принятых в организации нормативных документов,4
73,1,Оценка и согласовывание сроков выполнения поставленных задач,4
74,2,Создание программного кода в соответствии с техническим заданием (готовыми спецификациями),4
75,2,Оптимизация программного кода с использованием специализированных программных средств,4
76,2,Оценка и согласование сроков выполнения поставленных задач,4
77,3,"Приведение наименований переменных, функций, классов, структур данных и файлов в соответствие с установленными в организации требованиями",4
78,3,Структурирование исходного программного кода в соответствии с установленными в организации требованиями,4
79,3,Комментирование и разметка программного кода в соответствии с установленными в организации требованиями,4
80,3,Форматирование исходного программного кода в соответствии с установленными в организации требованиями,4
81,4,Регистрация изменений исходного текста программного кода в системе контроля версий,4
82,4,"Слияние, разделение и сравнение исходных текстов программного кода",4
83,4,Сохранение сделанных изменений программного кода в соответствии с регламентом контроля версий,4
84,5,Анализ и проверка исходного программного кода,4
85,5,Отладка программного кода на уровне программных модулей,4
86,5,Отладка программного кода на уровне межмодульных взаимодействий и взаимодействий с окружением,4
87,5,Оценка и согласование сроков выполнения поставленных задач,4
88,6,Разработка процедуры проверки работоспособности программного обеспечения,4
89,6,Разработка процедуры сбора диагностических данных,4
90,6,Разработка процедуры измерения требуемых характеристик программного обеспечения,4
91,6,Оценка и согласование сроков выполнения поставленных задач,4
92,7,Подготовка тестовых наборов данных в соответствии с выбранной методикой,4
93,7,Оценка и согласование сроков выполнения поставленных задач,4
94,8,Проверка работоспособности программного обеспечения на основе разработанных тестовых наборов данных,4
95,8,Оценка соответствия программного обеспечения требуемым характеристикам,4
96,8,Сбор и анализ полученных результатов проверки работоспособности программного обеспечения,4
97,8,Оценка и согласование сроков выполнения поставленных задач,4
98,9,Анализ программного кода на соответствие требованиям по читаемости и производительности,4
99,9,Внесение изменений в программный код и проверка его работоспособности,4
100,9,Оценка и согласование сроков выполнения поставленных задач,4
101,10,"Воспроизведение дефектов, зафиксированных в базе данных дефектов",4
102,10,Установление причин возникновения дефектов,4
103,10,Внесение изменений в программный код для устранения выявленных дефектов,4
104,10,Оценка и согласование сроков выполнения поставленных задач,4
105,11,Разработка и документирование программных интерфейсов,4
106,11,Разработка процедур сборки модулей и компонент программного обеспечения,4
107,11,Разработка процедур развертывания и обновления программного обеспечения,4
108,11,Разработка процедур миграции и преобразования (конвертации) данных,4
109,11,Оценка и согласование сроков выполнения поставленных задач,4
110,12,Процедуры сборки программных модулей и компонент в программный продукт,4
111,12,Подключение программного продукта к компонентам внешней среды,4
112,12,Проверка работоспособности выпусков программного продукта,4
113,12,"Внесение изменений в процедуры сборки модулей и компонент программного обеспечения, развертывания программного обеспечения, миграции и преобразования данных",4
114,12,Оценка и согласование сроков выполнения поставленных задач,4
115,13,Анализ возможностей реализации требований к программному обеспечению,4
116,13,Оценка времени и трудоемкости реализации требований к программному обеспечению,4
117,13,Согласование требований к программному обеспечению с заинтересованными сторонами,4
118,13,Оценка и согласование сроков выполнения поставленных задач,4
119,14,Разработка и согласование технических спецификаций на программные компоненты и их взаимодействие с архитектором программного обеспечения,4
120,14,Распределение заданий между программистами в соответствии с техническими спецификациями,4
121,14,Осуществление контроля выполнения заданий,4
122,14,Осуществление обучения и наставничества,4
123,14,Формирование и предоставление отчетности в соответствии с установленными регламентами,4
124,14,Оценка и согласование сроков выполнения поставленных задач,4
125,15,"Разработка, изменение и согласование архитектуры программного обеспечения с системным аналитиком и архитектором программного обеспечения",4
126,15,Проектирование структур данных,4
127,15,Проектирование баз данных,4
128,15,Проектирование программных интерфейсов,4
129,15,Оценка и согласование сроков выполнения поставленных задач,4
130,1,Использовать методы и приемы формализации задач,5
131,1,Использовать методы и приемы алгоритмизации поставленных задач,5
132,1,Использовать программные продукты для графического отображения алгоритмов,5
133,1,Применять стандартные алгоритмы в соответствующих областях,5
134,2,Применять выбранные языки программирования для написания программного кода,5
135,2,Использовать выбранную среду программирования и средства системы управления базами данных,5
136,2,Использовать возможности имеющейся технической и/или программной архитектуры,5
137,3,"Применять нормативные документы, определяющие требования к оформлению программного кода",5
138,3,Применять инструментарий для создания и актуализации исходных текстов программ,5
139,3,Применять имеющиеся шаблоны для составления технической документации,5
140,4,Использовать выбранную систему контроля версий,5
141,4,Использовать вспомогательные инструментальные программные средства для обработки исходного текста программного кода,5
142,4,"Выполнять действия, соответствующие установленному регламенту используемой системы контроля версий",5
143,5,Выявлять ошибки в программном коде,5
144,5,Применять методы и приемы отладки программного кода,5
145,5,"Интерпретировать сообщения об ошибках, предупреждения, записи технологических журналов",5
146,5,"Применять современные компиляторы, отладчики и оптимизаторы программного кода",5
147,6,Писать программный код процедур проверки работоспособности программного обеспечения на выбранном языке программирования,5
148,6,Использовать выбранную среду программирования для разработки процедур проверки работоспособности программного обеспечения на выбранном языке программирования,5
149,7,Разработка и оформление контрольных примеров для проверки работоспособности программного обеспечения,5
150,7,Разработка процедур генерации тестовых наборов данных с заданными характеристиками,5
151,7,"Подготовка наборов данных, используемых в процессе проверки работоспособности программного обеспечения",5
152,8,Применять методы и средства проверки работоспособности программного обеспечения,5
153,8,"Интерпретировать диагностические данные (журналы, протоколы и др.)",5
154,8,Анализировать значения полученных характеристик программного обеспечения,5
155,8,Документировать результаты проверки работоспособности программного обеспечения,5
156,9,"Применять методы, средства для рефакторинга и оптимизации",5
157,9,Применять инструментальные средства коллективной работы над программным кодом,5
158,9,Публиковать результаты рефакторинга и оптимизации в коллективной базе знаний в виде лучших практик,5
159,9,Использовать систему контроля версий для регистрации произведенных изменений,5
160,10,Применять методы и приемы отладки дефектного программного кода,5
161,10,"Интерпретировать сообщения об ошибках, предупреждения, записи технологических журналов, возникающих при выполнении дефектного кода",5
162,11,Писать программный код процедур интеграции программных модулей,5
163,11,Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,5
164,11,"Применять методы и средства сборки модулей и компонент программного обеспечения, разработки процедур для развертывания программного обеспечения, миграции и преобразования данных, создания программных интерфейсов",5
165,12,Выполнять процедуры сборки программных модулей и компонент в программный продукт,5
166,12,Производить настройки параметров программного продукта и осуществлять запуск процедур сборки,5
167,12,Проводить оценку работоспособности программного продукта,5
168,12,"Документировать произведенные действия, выявленные проблемы и способы их устранения",5
169,12,Выявлять соответствие требований заказчиков с существующими продуктами,5
170,12,"Создавать резервные копии программ и данных, выполнять восстановление, обеспечивать целостность программного продукта и данных",5
171,13,Проводить анализ исполнения требований,5
172,13,Вырабатывать варианты реализации требований,5
173,13,Проводить оценку и обоснование рекомендуемых решений,5
174,13,Осуществлять коммуникации с заинтересованными сторонами,5
175,14,Выбирать средства реализации требований к программному обеспечению,5
176,14,Вырабатывать варианты реализации программного обеспечения,5
177,14,Проводить оценку и обоснование рекомендуемых решений,5
178,14,Осуществлять коммуникации с заинтересованными сторонами,5
179,15,Использовать существующие типовые решения и шаблоны проектирования программного обеспечения,5
180,15,"Применять методы и средства проектирования программного обеспечения, структур данных, баз данных, программных интерфейсов",5
181,15,Осуществлять коммуникации с заинтересованными сторонами,5
182,1,Методы и приемы формализации задач,6
183,1,Языки формализации функциональных спецификаций,6
184,1,Методы и приемы алгоритмизации поставленных задач,6
185,1,Нотации и программные продукты для графического отображения алгоритмов,6
186,1,"Алгоритмы решения типовых задач, области и способы их применения",6
187,2,"Синтаксис выбранного языка программирования, особенности программирования на этом языке, стандартные библиотеки языка программирования",6
188,2,Методологии разработки программного обеспечения,6
189,2,Методологии и технологии проектирования и использования баз данных,6
190,2,Технологии программирования,6
191,2,Особенности выбранной среды программирования и системы управления базами данных,6
192,2,"Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними",6
193,3,Инструментарий для создания и актуализации исходных текстов программ,6
194,3,Методы повышения читаемости программного кода,6
195,3,"Системы кодировки символов, форматы хранения исходных текстов программ",6
196,3,"Нормативные документы, определяющие требования к оформлению программного кода",6
197,4,Возможности используемой системы контроля версий и вспомогательных инструментальных программных средств,6
198,4,Установленный регламент использования системы контроля версий,6
199,5,Методы и приемы отладки программного кода,6
200,5,"Типы и форматы сообщений об ошибках, предупреждений",6
201,5,"Способы использования технологических журналов, форматы и типы записей журналов",6
202,5,"Современные компиляторы, отладчики и оптимизаторы программного кода",6
203,5,Сообщения о состоянии аппаратных средств,6
204,6,Методы автоматической и автоматизированной проверки работоспособности программного обеспечения,6
205,6,Основные виды диагностических данных и способы их представления,6
206,6,"Языки, утилиты и среды программирования, и средства пакетного выполнения процедур",6
207,6,Типовые метрики программного обеспечения,6
208,6,Основные методы измерения и оценки характеристик программного обеспечения,6
209,7,Методы создания и документирования контрольных примеров и тестовых наборов данных,6
210,7,"Правила, алгоритмы и технологии создания тестовых наборов данных",6
211,7,Требования к структуре и форматам хранения тестовых наборов данных,6
212,8,Методы и средства проверки работоспособности программного обеспечения,6
213,8,Среда проверки работоспособности и отладки программного обеспечения,6
214,8,"Внутренние нормативные документы, регламентирующие порядок документирования результатов проверки работоспособности программного обеспечения",6
215,9,Методы и средства рефакторинга и оптимизации программного кода,6
216,9,Языки программирования и среды разработки,6
217,9,"Внутренние нормативные документы, регламентирующие требования к программному коду, порядок отражения изменений в системе контроля версий",6
218,9,"Внутренние нормативные документы, регламентирующие порядок отражения результатов рефакторинга и оптимизации в коллективной базе знаний",6
219,10,Методы и приемы отладки программного кода,6
220,10,"Типовые ошибки, возникающие при разработке программного обеспечения, и методы их диагностики и исправления",6
221,11,Методы и средства сборки модулей и компонент программного обеспечения,6
222,11,Интерфейсы взаимодействия с внешней средой,6
223,11,Интерфейсы взаимодействия внутренних модулей системы,6
224,11,Методы и средства разработки процедур для развертывания программного обеспечения,6
225,11,Методы и средства миграции и преобразования данных,6
226,11,"Языки, утилиты и среды программирования, средства пакетного выполнения процедур",6
227,12,Методы и средства сборки и интеграции программных модулей и компонент,6
228,12,Интерфейсы взаимодействия с внешней средой,6
229,12,Интерфейсы взаимодействия внутренних модулей системы,6
230,12,Методы и средства верификации работоспособности выпусков программных продуктов,6
231,12,"Языки, утилиты и среды программирования, средства пакетного выполнения процедур",6
232,13,Возможности существующей программно-технической архитектуры,6
233,13,"Возможности современных и перспективных средств разработки программных продуктов, технических средств",6
234,13,Методологии разработки программного обеспечения и технологии программирования,6
235,13,Методологии и технологии проектирования и использования баз данных,6
236,14,Языки формализации функциональных спецификаций,6
237,14,Методы и приемы формализации задач,6
238,14,Методы и средства проектирования программного обеспечения,6
239,14,Методы и средства проектирования программных интерфейсов,6
240,14,Методы и средства проектирования баз данных,6
241,15,Принципы построения архитектуры программного обеспечения и виды архитектуры программного обеспечения,6
242,15,"Типовые решения, библиотеки программных модулей, шаблоны, классы объектов, используемые при разработке программного обеспечения",6
243,15,Методы и средства проектирования программного обеспечения,6
244,15,Методы и средства проектирования баз данных,6
245,15,Методы и средства проектирования программных интерфейсов,6
246,16,Оператор почтовой связи III класса,1
247,17,Оператор почтовой связи III класса,1
248,18,Оператор почтовой связи III класса,1
249,19,Оператор почтовой связи II класса,1
250,20,Оператор почтовой связи II класса,1
251,21,Оператор почтовой связи II класса,1
252,22,Оператор почтовой связи II класса,1
253,23,Оператор почтовой связи II класса,1
254,24,Оператор почтовой связи I класса,1
255,25,Оператор почтовой связи I класса,1
256,26,Оператор почтовой связи I класса,1
257,27,Оператор почтовой связи I класса,1
258,28,Оператор почтовой связи I класса,1
259,29,Начальник отделения почтовой связи,1
260,30,Начальник отделения почтовой связи,1
261,31,Начальник отделения почтовой связи,1
262,32,Начальник отделения почтовой связи,1
263,33,Начальник отделения почтовой связи,1
264,34,Начальник отделения почтовой связи,1
265,35,Начальник отделения почтовой связи,1
266,36,Начальник отделения почтовой связи,1
267,16,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
268,17,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
269,18,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
270,19,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
271,20,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
272,21,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
273,22,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
274,23,Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2
275,24,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",2
276,25,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",2
277,26,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",2
278,27,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",2
279,28,"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",2
280,29,Среднее профессиональное образование ,2
281,29,Дополнительные профессиональные программы - программы профессиональной переподготовки в области почтовой связи,2
282,30,Среднее профессиональное образование ,2
283,30,Дополнительные профессиональные программы - программы профессиональной переподготовки в области почтовой связи,2
284,31,Среднее профессиональное образование ,2
285,31,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",2
286,32,Среднее профессиональное образование ,2
287,32,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",2
288,33,Среднее профессиональное образование ,2
289,33,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",2
290,34,Среднее профессиональное образование ,2
291,34,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",2
292,35,Среднее профессиональное образование ,2
293,35,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",2
294,36,Среднее профессиональное образование ,2
295,36,"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",2
296,16,-,3
297,17,-,3
298,18,-,3
299,19,Не менее трех месяцев на должности оператора почтовой связи III класса,3
300,20,Не менее трех месяцев на должности оператора почтовой связи III класса,3
301,21,Не менее трех месяцев на должности оператора почтовой связи III класса,3
302,22,Не менее трех месяцев на должности оператора почтовой связи III класса,3
303,23,Не менее трех месяцев на должности оператора почтовой связи III класса,3
304,24,Не менее пяти месяцев на должности оператора почтовой связи II класса,3
305,25,Не менее пяти месяцев на должности оператора почтовой связи II класса,3
306,26,Не менее пяти месяцев на должности оператора почтовой связи II класса,3
307,27,Не менее пяти месяцев на должности оператора почтовой связи II класса,3
308,28,Не менее пяти месяцев на должности оператора почтовой связи II класса,3
309,29,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
310,30,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
311,31,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
312,32,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
313,33,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
314,34,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
315,35,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
316,36,"При наличии среднего профессионального образования (программы подготовки специалистов среднего звена) общий трудовой стаж не менее трех лет, в том числе по специальности - не менее года",3
317,16,"Проверка правильности упаковки, веса, допустимого вложения, суммы оценки и написания адреса, сверка информации в описи",4
318,16,"Упаковка почтовых отправлений, наклеивание штрихкодового почтового идентификатора, взвешивание и определение тарифа",4
319,16,"Оформление операции приема почтовых отправлений на почтово-кассовом терминале, выдача клиенту чека или квитанции",4
320,16,Оформление таможенной декларации при отправке международного почтового отправления,4
321,16,"Передача принятых почтовых отправлений на дальнейшую обработку, осуществление приписки к сопроводительным документам",4
322,16,"Оформление невостребованных и нерозданных почтовых отправлений, возврат и досыл регистрируемых почтовых отправлений",4
323,16,"Сверка документа, удостоверяющего личность, с данными адресата, указанными на извещении, выдача копии извещения в случае его утраты адресатом",4
324,16,Проверка правильности оформления документов при выдаче почтового отправления по доверенности,4
325,16,"Вручение почтового отправления, внесение информации о вручении в общероссийскую автоматизированную систему учета регистрируемых почтовых отправлений",4
