,id_matching,id_profstandard_part,id_vacancy,id_vacancy_part,labels,name,prof_code,prof_name,prof_text,prof_type,sc,vac_text,vector_sim
221,5,221,24333420.0,16473,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия с внешней средой,knowledge,0.2917726377645723,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
222,5,222,24333420.0,16473,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2810143549358589,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
228,5,228,24333420.0,16473,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2190910557919322,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
227,5,227,24333420.0,16473,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Интерфейсы взаимодействия с внешней средой,knowledge,0.2189916323118981,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
162,5,162,24333420.0,16473,14.0,Программист PHP ( на коробочную версию Битрикс 24),6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,skills,0.20893687698442495,Настройка интеграции с различными внутренними и внешними системами;,TfIdf
186,6,186,28025416.0,32297,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Синтаксис выбранного языка программирования, особенности программирования на этом языке, стандартные библиотеки языка программирования",knowledge,0.48888892947207707,"Знание языков программирования C, С++.",TfIdf
189,6,189,28025416.0,32297,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Технологии программирования",knowledge,0.30583204770221784,"Знание языков программирования C, С++.",TfIdf
133,6,133,28025416.0,32297,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Применять выбранные языки программирования для написания программного кода",skills,0.29749567344840583,"Знание языков программирования C, С++.",TfIdf
190,6,190,28025416.0,32297,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Особенности выбранной среды программирования и системы управления базами данных",knowledge,0.2628288593289265,"Знание языков программирования C, С++.",TfIdf
134,6,134,28025416.0,32297,14.0,Ведущий инженер-программист (бюро ТМС),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Использовать выбранную среду программирования и средства системы управления базами данных",skills,0.26012157076214637,"Знание языков программирования C, С++.",TfIdf
232,7,232,27597093.0,30148,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,"Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Возможности современных и перспективных средств разработки программных продуктов, технических средств",knowledge,0.1233370528833459,Участие в разработке и развитии наших продуктов для Android;,TfIdf
168,7,168,27597093.0,30148,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Выявлять соответствие требований заказчиков с существующими продуктами,skills,0.11445831517941375,Участие в разработке и развитии наших продуктов для Android;,TfIdf
166,7,166,27597093.0,30148,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Проводить оценку работоспособности программного продукта,skills,0.11115254412709503,Участие в разработке и развитии наших продуктов для Android;,TfIdf
110,7,110,27597093.0,30148,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Подключение программного продукта к компонентам внешней среды,activities,0.1052914248814472,Участие в разработке и развитии наших продуктов для Android;,TfIdf
165,7,165,27597093.0,30148,14.0,Разработчик приложений для Андроид / Android Developer,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Производить настройки параметров программного продукта и осуществлять запуск процедур сборки,skills,0.10528911102692773,Участие в разработке и развитии наших продуктов для Android;,TfIdf
58,8,58,24605056.0,18037,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий -,requirements_for_practical_experience,0.03635983941072454,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
7,8,7,24605056.0,18037,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.030468844526262678,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
32,8,32,24605056.0,18037,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Повышение квалификации,education_and_training_requirements,0.0300976686503863,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
6,8,6,24605056.0,18037,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.028905289322432505,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
31,8,31,24605056.0,18037,14.0,Программист 1С,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.02847497213858393,"Умение работать в режиме многозадачности, самостоятельно планировать свою работу;",TfIdf
7,9,7,23949234.0,13953,14.0,IOS разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.16150190631497147,Общение с заказчиком и командой Бекенд-программистов,TfIdf
6,9,6,23949234.0,13953,14.0,IOS разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.153214189797543,Общение с заказчиком и командой Бекенд-программистов,TfIdf
23,9,23,23949234.0,13953,14.0,IOS разработчик,6.001,Программист,Разработка требований и проектирование программного обеспечения Проектирование программного обеспечения Ведущий программист,posts,0.14090115812908496,Общение с заказчиком и командой Бекенд-программистов,TfIdf
19,9,19,23949234.0,13953,14.0,IOS разработчик,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Ведущий программист,posts,0.14057273159408623,Общение с заказчиком и командой Бекенд-программистов,TfIdf
11,9,11,23949234.0,13953,14.0,IOS разработчик,6.001,Программист,Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Программист,posts,0.13729720229638906,Общение с заказчиком и командой Бекенд-программистов,TfIdf
58,10,58,22338795.0,3411,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий -,requirements_for_practical_experience,0.0516324373122988,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
7,10,7,22338795.0,3411,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.04326698716156644,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
32,10,32,22338795.0,3411,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Повышение квалификации,education_and_training_requirements,0.04273990245894886,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
6,10,6,22338795.0,3411,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.04104667575880848,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
31,10,31,22338795.0,3411,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.04043560801539834,"Опыт работы с СУБД PostgreSQL, MySQL;",TfIdf
231,11,231,24928415.0,20312,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Возможности существующей программно-технической архитектуры,knowledge,0.2595251638650109,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
170,11,170,24928415.0,20312,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Проводить анализ исполнения требований,skills,0.18563695638524555,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
171,11,171,24928415.0,20312,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Вырабатывать варианты реализации требований,skills,0.17944389194436583,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
49,11,49,24928415.0,20312,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Высшее образование,education_and_training_requirements,0.16763308014339176,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
116,11,116,24928415.0,20312,14.0,Программист-консультант 1С,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Согласование требований к программному обеспечению с заинтересованными сторонами,activities,0.16264909175652156,"модификация существующего функционала программ и разработка нового, согласно требованиям клиента",TfIdf
31,12,31,23404834.0,10786,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.13590952865045672,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
25,12,25,23404834.0,10786,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Формализация и алгоритмизация поставленных задач Среднее профессиональное образование,education_and_training_requirements,0.11405812899161812,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
37,12,37,23404834.0,10786,14.0,Ведущий разработчик .net,6.001,Программист,Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Среднее профессиональное образование,education_and_training_requirements,0.11250724016190983,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
29,12,29,23404834.0,10786,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Оформление программного кода в соответствии с установленными требованиями Среднее профессиональное образование,education_and_training_requirements,0.106454201822495,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
33,12,33,23404834.0,10786,14.0,Ведущий разработчик .net,6.001,Программист,Разработка и отладка программного кода Проверка и отладка программного кода Среднее профессиональное образование,education_and_training_requirements,0.10023887628563208,Оказание услуг профессионального консалтинга для заказчиков,TfIdf
191,13,191,26156513.0,26932,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними",knowledge,0.15692655612247877,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
73,13,73,26156513.0,26932,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Создание программного кода в соответствии с техническим заданием (готовыми спецификациями)",activities,0.13787591001186425,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
133,13,133,26156513.0,26932,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Применять выбранные языки программирования для написания программного кода",skills,0.13111123503750355,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
56,13,56,26156513.0,26932,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными -",requirements_for_practical_experience,0.1204182320234872,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
187,13,187,26156513.0,26932,14.0,Фронт-энд разработчик (Angular 2+),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Методологии разработки программного обеспечения",knowledge,0.11573593565590715,"Написание кода клиентских частей web-приложений:  Разработка динамически формируемых web-интерфейсов, схем на картографической подложке, систем создания таких схем коммуникаций на картах, сложных аналитических отчетов и кросс-таблиц для BI.",TfIdf
222,14,222,27136456.0,27448,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2744422955162985,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
108,14,108,27136456.0,27448,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Оценка и согласование сроков выполнения поставленных задач,activities,0.2638227854587042,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
220,14,220,27136456.0,27448,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Методы и средства сборки модулей и компонент программного обеспечения,knowledge,0.2479733885462137,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
105,14,105,27136456.0,27448,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Разработка процедур сборки модулей и компонент программного обеспечения,activities,0.23771291513586965,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
162,14,162,27136456.0,27448,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,skills,0.22179036741382668,Оценка трудозатрат на реализацию функционала/модулей;,TfIdf
222,15,222,22989436.0,7989,14.0,Программист Java,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.14815120221596634,внутреннее тестирование ПО;,TfIdf
