id,vacancy_id,text,type_id
59,22006845,"SQL на хорошем уровне, умение писать сложные запросы, оптимизация, знание особенностей MySQL",2
60,22006845,"Знание HTML, CSS, JavaScript, jQuery, AJAX, Bootstrap",2
61,22006845,Опыт работы с Git,2
62,22006845,Способность разбираться в чужом коде,2
63,22007832,"Обслуживание, проверка технического состояния устройств СОУЭ.",1
64,22007832,Оформление технологических документов на ремонт данных устройств.,1
65,22007832,Высшее профессиональное (техническое) образование.,2
66,22007832,Стаж работы в должности инженера не менее 3 лет.,2
67,22010940,Конфигурация оборудования и оптимизация сети;,1
68,22010940,Поддержка баз данных в актуальном состоянии;,1
69,22010940,Администрирование и мониторинг серверов и сетевого оборудования.,1
70,22010940,"Образование: высшее, желательно в сфере связи или телекоммуникаций;",2
71,22010940,"Знание и понимание сетевых технологий‚ модели OSI‚ стека протоколов TCP/IP‚ DNS‚ FTP‚ CISCO, D-Link;",2
72,22010940,"Ответственность‚ аккуратность‚ исполнительность, умение и желание работать в команде.",2
73,22015357,Опыт работы на руководящей должности не менее 3-х лет,2
74,22015357,"Экспертные знания ITIL, опыт построения и управления процессами ITSM",2
75,22015357,"Уверенное знание T-SQL, опыт работы с MS SQL",2
76,22015357,"Опыт администрирования ОС Windows Server, IIS 7-8, nginx",2
77,22015357,"Знание С#, HTML5, JavaScript на базовом уровне",2
78,22015357,"Высокие коммуникационные навыки, умение работать как одному, так и в команде",2
79,22015357,Английский на уровне написания писем на технические темы,2
80,22015357,Опыт сопровождения высоконагруженных систем,2
81,22015357,Опыт администрирования/сопровождения с платежных сервисов приветствуется,2
82,22015357,Опыт непосредственного взаимодействия с заказчиком,2
83,22015357,"Опыт работы с системами, работающими в режиме 24x7",2
84,22015357,Опыт ведения проектной деятельности приветствуется,2
85,22017476,Администрирование СУБД Oracle (Oracle DBA);,1
86,22017476,Администрирование SAP BO;,1
87,22017476,Администрирование системы построения сводной отчетности;,1
88,22017476,Обеспечение безопасности и бесперебойности работы систем.,1
89,22017476,Высшее техническое образование;,2
90,22017476,Опыт работы от 5-и лет;,2
91,22017476,Администратор Oracle;,2
92,22017476,Администратор SAP BO;,2
93,22017476,"Навыки администрирования офисных приложений, серверов приложений, баз данных;",2
94,22017476,Способность решать задачи пользователей;,2
95,22017476,Готовность постоянно развиваться и самостоятельно изучать новое оборудование и программные продукты;,2
96,22017476,Способность оперативно принимать решения;,2
97,22017476,"Целеустремленность, исполнительность, аккуратность.",2
98,22018532,"Поддержка пользователей в части выполнения заявок, связанных с ИТ-инфраструктурой.",1
99,22018532,"Планирование, техническая реализация и администрирование работы компьютерной сети, серверов.",1
100,22018532,"Организация и поддержка единой распределенной сети компании (центральный офис и филиалы), предоставление доступа удалённым пользователям к информационным ресурсам компании.",1
101,22018532,Организация и поддержка основных и резервных каналов связи центрального офиса и филиалов.,1
102,22018532,Организация и администрирование телефонной связи центрального офиса и филиалов.,1
103,22018532,Антивирусная защита рабочих станций.,1
104,22018532,"Обеспечение резервного копирования, реализация схем восстановления работоспособности ИТ-инфраструктуры в случае сбоев, включая оборудование, ПО, каналы связи.",1
105,22018532,Создание и обновление пользовательской документации по ИТ-инфраструктуре и предоставляемым сервисам.,1
106,22018532,Высшее образование.,2
107,22018532,"Опыт работы системным администратором в компании с парком серверов более 20 и распределенной вычислительной сетью, общий стаж в администрировании не менее 3 лет.",2
108,22018532,"Свободное знание и понимание: настройка и администрирование ОС Windows, Linux, Active Directory, DNS, DHCP, Hyper-V, RDS, MS Exchange, серверного оборудования HP, DELL",2
109,22018532,"Отличные знания по организации отказоустойчивых WAN и IPVPN каналов, по сетевой печати, системам резервного копирования и ИБП.",2
110,22018532,"Знание офисных программ (Word, Excel – опытный пользователь).",2
111,22018532,Знание основных линеек серверного оборудования как преимущество.,2
112,22018532,Знание ITIL как преимущество.,2
113,22018932,Комплексное управление созданием интернет-проектов (управление несколькими проектами на всех этапах от проектирования до тестирования и анализа итогов).,1
114,22018932,"Управление персоналом, участвующим в создании сайта (организация и поэтапный контроль работы специалистов (дизайн, программирование, копирайт и т.д.), мотивация проектной команды.",1
115,22018932,Написание проектных документов и утверждение их с заказчиком.,1
116,22018932,"Проектирование сайтов (проектирование структуры сайта, создание прототипов страниц, создание технических заданий для подчиненных).",1
117,22018932,Контроль сроков и качества исполнения собственных поручений и заданий.,1
118,22018932,Поддержка доброжелательных контактов с заказчиками (от начала согласования проекта до его сдачи).,1
119,22018932,Опыт управления проектной группой по созданию сайтов (опыт работы в web-студии обязателен).,2
120,22018932,"Ответственность (это одно из главных требований), умение достигать результата в поставленные сроки.",2
121,22018932,"Знание основных CMS (1C Bitrix, Umi-Cms, Drupal).",2
122,22018932,Также приветствуются знания других CMS на российском и европейском рынках.,2
123,22018932,"Грамотный русский и английский языки (речь, письмо).",2
124,22018932,Отличное знакомство с процессом разработки сложных интернет-проектов.,2
125,22018932,Опыт описания технического задания (опыт описания различных интеграций приветствуется).,2
126,22018932,Твердые знания в области usability пользовательских интерфейсов.,2
127,22018932,Знание современных тенденций в проектировании интерфейсов.,2
128,22018932,"Любовь к деталям, умение обосновывать свою точку зрения.",2
129,22018932,"Опыт ведения и реализации коммерческих проектов в сфере ИТ (Интернет-проектов, программных продуктов, ориентированных на массовый рынок) на всех стадиях производственного цикла (ТЗ, интерфейсы, разработка, верстка, тестирование).",2
130,22018932,"Сильные коммуникативные навыки, умение четко формулировать и ставить задачи, ответственность, динамичность, умение работать в команде.",2
131,22018932,Стремление к повышению профессионального уровня и нацеленность на результат.,2
132,22018932,Дополнительное образование: желательно в области управления проектами.,2
133,22023008,Развитие и техническая поддержка ИТ инфраструктуры на предприятиях группы компаний ИНВЭНТ;,1
134,22023008,Организация технической поддержки информационных систем;,1
135,22023008,Руководство территориально распределенной командой ИТ специалистов численностью 12 сотрудников;,1
136,22023008,Проведение тендеров по выбору поставщиков оборудования и подрядных организаций;,1
137,22023008,Планирование и защита ИТ бюджета компании;,1
138,22023008,Обеспечение снижения затрат на ИТ;,1
139,22023008,"Управление проектами по разработке, внедрению и развитию информационных систем;",1
140,22023008,"Анализ задач группы компаний, формирование предложений по улучшению бизнес-процессов посредством автоматизации, инициация проектов.",1
141,22023008,"Взаимодействие с топ-менеджментом, руководителями структурных подразделений;",1
142,22023008,Образование: Высшее,2
143,22023008,"Опыт в области руководства отделом, службой (от 3 лет)",2
144,22023008,Опыт работы в сфере ИТ в производстве (от 3 лет),2
145,22023008,Обширный кругозор в области современных информационных технологий.,2
146,22023008,Знакомство с основными стратегическими направлениями и тенденциями развития индустрии ИТ.,2
147,22024055,Участие в проектах по внедрению ServiceNow.,1
148,22024055,Доработка и настройка бизнес-приложения.,1
149,22024055,Администрирование системы.,1
150,22024055,Понимание принципов построения архитектуры корпоративных информационных систем.,2
151,22024055,"Знание SQL, навык работы с распространёнными СУБД.",2
152,22024055,"Навыки программирования на JavaScript, знания jQuery и AngularJS будут преимуществом.",2
153,22024055,"Опыт работы с XML, XSLT, HTML, CSS.",2
154,22030073,активное участие в процессе разработки и поддержки специальной и технической документации для программных продуктов компании на английском языке;,1
155,22030073,систематизация документации;,1
156,22030073,взаимодействие с командой разработчиков для уточнения и интерпретации требований к документации.,1
157,22030073,опыт работы техническим писателем от 2-х лет;,2
158,22030073,высшее техническое/лингвистическое образование;,2
159,22030073,отличное знание английского языка (Proficiency or Advanced);,2
160,22030073,"умение доступно, грамотно и технически правильно представлять информацию на английском языке;",2
161,22030073,ясное понимание содержания оригинальных документов / текстов;,2
162,22030073,знание стандартов оформления и технологий разработки документации;,2
163,22030073,знание систем для создания подсистем контекстной помощи (Madcap Flare или Adobe RoboHelp);,2
164,22030073,навыки работы с графикой;,2
165,22030073,знание компьютера на уровне опытного пользователя (уверенное знание программных продуктов MS Office);,2
166,22030073,"личные качества:  организованность, ответственность, пунктуальность, педантичность, исполнительность, хорошие организаторские навыки, умение работать в авральном режиме, быстрая обучаемость.  ",2
167,22030073,"организованность, ответственность, пунктуальность, педантичность,",2
168,22030073,"исполнительность, хорошие организаторские навыки,",2
169,22030073,"умение работать в авральном режиме, быстрая обучаемость.",2
170,22030073,"разработка, актуализация, коррекция технической документации на программное обеспечение и электронной справочной системы (HELP) для web-приложений.",2
171,22030363,"Генерация контента для Youtube, Instagram и других социальных сетей",1
172,22030363,"Воплощение этих идей в реальность (участие в съемках видео, фото)",1
173,22030363,Монтаж видео!,1
174,22030363,Общение с блогерами,1
175,22030363,Выполнение поручений руководства,1
176,22030363,Грамотная речь,2
177,22030363,Харизматичность,2
178,22030363,Ответственный,2
179,22030363,Аккуратный,2
180,22030363,Стрессоустойчивый,2
181,22031164,Проектирование новых продуктов и решений в соответствии с требованиями и потребностями заказчиков,1
182,22031164,Обсуждение с заказчиками их требований и выявление потребностей,1
183,22031164,Контроль за созданием продуктов и их развитием,1
184,22031164,Разработка документации,1
185,22031164,Составление плана-графика работ,1
186,22031164,Формализация задач для разработчиков и согласование результатов с заказчиком,1
187,22031164,Проверка соответствия продукта реализованного командой разработчиков требованиям и потребностям заказчика.,1
188,22031164,Постановка корректирующих задач,1
189,22031164,Очень важен проактивный подход к созданию и развитию продукта,2
190,22031164,Приветствуется опыт работы с сервисами и продуктами Google,2
191,22031164,Необходимо знание английского языка (понимать и писать технические тексты),2
192,22031164,Понимать пользователей и доносить их пожелания и требования до разработчиков,2
193,22031164,"Способствовать совместной работе участников, решающих разные задачи",2
194,22031164,Идти на компромиссы относительно продукта,2
195,22031164,Достигать конечной цели в условиях фиксированных сроков и ресурсов,2
196,22031164,Быть позитивным и практичным,2
197,22031197,"Сопровождение сетевого оборудования систем информационной безопасности: Cisco ISE, ПАК ФПСУ-IP, АПКШ Континент;",1
198,22031197,"Разработка архитектуры, внедрение, мониторинг, устранение сбоев, контроль производительности;",1
199,22031197,Участие в реализации проектов на сетевой инфраструктуре;,1
200,22031197,Периодический анализ сетевой инфраструктуры и параметров сетевого оборудования на предмет улучшения;,1
201,22031197,Взаимодействие с внешними партнерами;,1
202,22031197,Подготовка аналитической информации и отчетов;,1
203,22031197,Проведение анализа и тестирования новых технических решений и их внедрение;,1
204,22031197,"Экспертиза регламентных документов, консультации сотрудников Банка;",1
205,22031197,"Документирование сопровождаемых систем, разработка схем;",1
206,22031197,Высшее техническое образование;,2
207,22031197,Опыт работы в аналогичной должности не менее 2 лет;,2
208,22031197,"Желательный опыт администрирования систем информационной безопасности: Check Point, Cisco ASA, Cisco ISE, ПАК ФПСУ-IP, АПКШ Континент, S-Terra, VipNet;",2
209,22031197,Опыт сопровождения сетевого оборудования Cisco;,2
210,22031197,"Понимание работы протоколов маршрутизации, механизмов работы TCP-стека и других основных протоколов модели OSI;",2
211,22031197,Навыки проведения глубокого анализа сетевого трафика;,2
212,22031197,Понимание аппаратной архитектуры сетевого оборудования;,2
213,22031197,Аналитические навыки решения проблем в работе сетевых приложений;,2
214,22031197,"Знание принципов построения сети предприятия, масштабирования, понимание ""узких мест"" архитектуры и ограничений моделей оборудования;",2
215,22031197,"Устойчивый профессиональный рост в областях - Security, LAN;",2
216,22031197,Знание принципов построения защищенной VPN сети;,2
217,22031197,Навыки работы с системами мониторинга;,2
218,22031197,"Навыки работы с централизованными системами управления (Check Point Smart Dashboard, Cisco CSM, Netflow Analyzer, Cisco ACS, Cisco Prime и т.п.);",2
219,22031197,Знание ОС семейства Linux;,2
220,22031197,"Уверенное владение Microsoft Excel, Visio, PowerPoint.",2
221,22031682,"Продажи комплексных проектов по строительству и модернизации сетевой инфраструктуры заказчиков, включая активное и пассивное сетевое оборудование локальных сетей (LAN), оборудование для передачи данных между отделениями и филиалами компаний (WAN), беспроводные WiFi сегменты сетевой инфраструктуры;",1
222,22031682,"Активный поиск новых клиентов и проектов, развитие сотрудничества с существующими клиентами;",1
223,22031682,"Проведение переговоров, выявление потребностей клиентов в необходимых сетевых решениях и оборудовании;",1
224,22031682,Подготовка коммерческих предложений и презентаций по индивидуальным техническим решениям для клиентов;,1
225,22031682,"Подготовка и оформление юридических (договора, приложения к договорам) и финансовых (счета, накладные, акты) документов на продажу телекоммуникационных решений.",1
226,22031715,"Руководство отделом - старший системный администратор, системный администратор, веб разработчик",1
227,22031715,Постановка задач и контроль их выполнения,1
228,22031715,Планирование и исполнение бюджета ИТ-отдела,1
229,22031715,"Планирование и выполнение проектов по модернизации ИТ-инфраструктуры - внедрение новых ИТ-сервисов, предложения по улучшению текущих сервисов, обеспечение бесперебойной работы",1
230,22031715,"Администрирование серверов Windows 2003/2008/2012/2016 - AD, GPO, File Services, Print Services, WSUS, Hyper-V",1
231,22031715,Администрирование серверов 1С,1
232,22031715,Администрирование MS SQL,1
233,22031715,Администрирование телефонии на базе АТС Panasonic KX-TDA/TDE,1
234,22031715,Администрирование SIP телефонии на базе АТС Yeastar,1
235,22031715,"Администрирование локальной сети на базе оборудования DLINK DFL, DGS",1
236,22031715,Администрирование почтового сервиса на базе Kerio Connect,1
237,22031715,Администрирование прокси сервера на базе Kerio Control,1
238,22031715,Администрирование системы видеонаблюдения,1
239,22031715,Администрирование СКУД,1
240,22031715,Курирование проектов по разработке корпоративных сайтов,1
241,22031715,"Внедрение системы корпоративного портала на безе ""Битрикс24""",1
242,22031715,Поддержка пользователей,1
243,22031715,Высшее техническое образование,2
244,22031715,Опыт от 5 лет,2
245,22031715,ПК - продвинутый пользователь,2
246,22031715,"Глубокое знание технологий сетевой безопасности, стандартов и протоколов",2
247,22031715,Опыт работы с аппаратными файерволлами,2
248,22031715,Опыт разработки рекомендаций по средствам и методам обеспечения сетевой безопасности,2
249,22031715,Ответственность,2
250,22031715,Организаторские способности,2
251,22032943,"разработка, развитие и сопровождение системы пассажирских сервисов транспортных компаний;",1
252,22032943,планирование и координация работы группы разработки;,1
253,22032943,контроль соблюдения календарных планов-графиков проектов разработки;,1
254,22032943,оценка трудоемкости проектов и распределение задач на разработку среди разработчиков;,1
255,22032943,управление процессом разработки;,1
256,22032943,разработка ПО в соответствии с представленными спецификациями.,1
257,22032943,высшее образование;,2
258,22032943,"хорошая теоретическая подготовка (алгоритмы, структуры данных, паттерны проектирования), а также желание делится/получать знания и критический взгляд;",2
259,22032943,"понимание и знание тонкостей ключевых интернет архитектур, технологий, протоколов и форматов, таких как TCP/IP,HTTP, AJAX, XML,SOAP, REST и т.п.;",2
260,22032943,навыки самостоятельного построения архитектуры в рамках концепта архитектуры;,2
261,22032943,"знание Web APL, C# Dot.Net Framework, ASP.Net;",2
262,22032943,"желательно SQL, KnockOut, MVC, WCF,HTML 5, JavaScript, jQuery;",2
263,22032943,"значительным плюсом является: умение работать с TFS, разработка unit test, опыт командной работы.",2
264,22034073,анализ использования IT в здравоохранении,1
265,22034073,анализ использования технологий искусственного интеллекта в здравоохранении,1
266,22034073,написание технических заданий и документации по продуктам компании,1
267,22034073,разработка mock-up,1
268,22034073,навыки использования нотаций и методологий моделирования (UML),2
269,22034073,опыт работы с медицинскими информационными системами,2
270,22034073,желательно - английский язык,2
271,22034073,желательно - медицинское образование,2
272,22034073,желание развиваться в области digital health,2
273,22034103,"Руководство и координация RD центра в области разработки схемотехнических решений для светотехнической продукции (модули, источники питания, устройства управления);",1
274,22034103,Развитие отношений с производителями и поставщиками электронных компонентов;,1
275,22034103,"Поиск решений, реализация технических задач, в том числе сложных и высокой степени неопределенности;",1
276,22034103,Анализ себестоимости и управление ее на различных этапах разработки;,1
277,22034103,Поиск инноваций в области разработки электроники и оптоэлектроники;,1
278,22034103,Прямое участие в комплексной модернизации изделий;,1
279,22034103,"Прямая ответственность вывод продуктов на рынок, согласно ТЗ, а так же за управление проектами ввода новых продуктов;",1
280,22034103,"Отбор, мотивация, развитие персонала.",1
281,22034103,"Высшее техническое образование: инженер, инженер-разработчик;",2
282,22034103,Опыт руководящей работы от 2 лет;,2
283,22034103,Опыт разработки от ТЗ до внедрения в массовое производство;,2
284,22034103,Знание английского языка на уровне intermеdiate;,2
285,22034103,"Знание программ AutoCad, Solidworks, Компас-3D, PDM-PLM (1C) является неоспоримым преимуществом.",2
286,22034860,Анализ требований к ПО,1
287,22034860,Подготовка тест-планов и отчетов о проведении тестирования,1
288,22034860,Разработка тест-кейсов и чек-листов,1
289,22034860,Проведение функционального и интеграционного тестирования,1
290,22034860,Проведение автоматизированного и нагрузочного тестирования,1
291,22034860,Наставничество и передача опыта junior-специалистам,1
292,22034860,Высшее техническое образование,2
293,22034860,Опыт ручного функционального и интеграционного тестирования ПО,2
294,22034860,Углубленные знания тест-анализа,2
295,22034860,Опыт написания сложных SQL-запросов,2
296,22034860,Понимание основ ООП и опыт разработки авто-тестов C#,2
297,22034860,Опыт управления небольшой командой (1-3 человека),2
298,22034860,Умение работать в режиме многозадачности,2
299,22034860,Грамотная русская речь и письмо,2
300,22038493,"Работа с базами данных Firebird, разработка отчетов на FastReport",1
301,22038493,"Доработка конфигураций под требования клиентов, программирование.",1
302,22038493,Опыт работы не менее 3 лет;,2
303,22038493,Высшее техническое образование;,2
304,22038493,Знание SQL;,2
305,22038493,"Опыт разработки в любой среде (приветствуются знания Delphi, C#, 1С).",2
306,22039979,"подготовка ежедневных, еженедельных, ежемесячных отчетов",1
307,22039979,формирование файлов в виде слайдов для трансляции на мониторах,1
308,22039979,анализ номенклатуры компании по глубине ассортимента,1
309,22039979,подготовка и отправка отчетов поставщикам,1
310,22039979,"высшее образование (финансовое, экономическое)",2
311,22039979,опыт работы не менее 3-х лет аналитиком,2
312,22039979,знание программ 1С:,2
313,22039979,продвинутый пользователь ПК,2
314,22039979,внимательность,2
315,22039979,коммуникабельность,2
316,22039979,стрессоустойчивость,2
317,22044444,"Отвечать за сроки, бюджет, качество проектов.",1
318,22044444,"Постановка задач исполнителям, коммуникация по возникающим вопросам.",1
319,22044444,"Коммуникация с заказчиком, ведение деловой переписки.",1
320,22044444,Выполнение плана по закрытию актов.,1
321,22044517,Цели и задачи: Эффективное решение операционных задач Блока продаж,1
322,22044517,формирование и анализ периодической управленческой отчетности;,1
323,22044517,подготовка оперативной отчетности;,1
324,22044517,анализ эффективности каналов привлечения клиентов;,1
325,22044517,анализ эффективности расходования рекламного бюджета;,1
326,22044517,"формирование предложений по запуску, расчет финансовой эффективности маркетинговых активностей/ акций;",1
327,22044517,проведение конкурентного анализа;,1
328,22044517,построение финансовых моделей для оценки эффективности различных проектов Компании;,1
329,22044517,формирование нормативной и методологической базы;,1
330,22044517,"подготовка предложений по оптимизации бизнес-процессов, написание технических заданий для их реализации в системах учета;",1
331,22044517,развитие и разработка инструментов аналитики,1
332,22044517,"Опыт работы аналитиком (бизнес-, финансовым, маркетинг-) более 3 лет.",2
333,22044517,(важна разнонаправленность решаемых задач);,2
334,22044517,"Уверенное владение пакетом МS Office, в том числе свободное владение МS Ехсе1 (опыт работы с макросами);",2
335,22044517,"опыт работы с Power quiry, Power pivot",2
336,22044517,"опыт работы с 1С (построение отчетов, выгрузка данных);",2
337,22044517,опыт обработки больших массивов данных;,2
338,22044517,опыт подготовки и проведения презентаций;,2
339,22044517,"желателен опыт работы с реляционными базами данных (SQL, разработка и оптимизация запросов)",2
340,22044517,нелинейная структурированная система мышления;,2
341,22044517,опыт одновременного выполнения большого пула несвязных задач;,2
342,22044517,грамотная речь;,2
343,22044517,"эффективная работа, как в команде, так и самостоятельно",2
344,22045553,Календарное планирование проектов,1
345,22045553,"Постановка задач исполнителям, контроль сроков выполнения и качества",1
346,22045553,"Участие в мозговых штурмах, предложение идей, принятие решений",1
347,22045553,"Коммуникация с заказчиком, ведение деловой переписки",1
