id,университет,название дисциплины,знать,уметь,владеть,описание разделов,аннотации
10,0,Основы управления ИТ-проектами,,"применять основные программные продукты, специализированные на управлении проектами формулировать концепцию, цели и задачи проекта 
разрабатывать основные документы в соответствии со стандартами управления ит-проектами 
оценивать конечный результат 
использовать доступные информационные ресурсы для решения практических задач 
готовить презентации, научно-технические отчеты по результатам выполнения проектов
Оформлять результаты исследований в виде статей и докладов "," навыками формирования требований к организации ит-проекта 
 навыками подготовки базовых документов управления ит-проектом 
 методами и инструментами управления проектами навыками управления качеством и рисками ит-проекта 
 знать основы управления проектами и программной инженерии 
 основные международные и национальные стандарты управления проектами 
 классификацию и особенности ит-проектов 
 фазы жизненного цикла, основные и вспомогательные процессы управления проектами и программной инженерии  подходы к реализации системы управления ит-проектами 
 ","1	Основы управления проектами	
2	ИТ-проекты и программная инженерия
3	Методология внедрения информационных систем	
4	Командная работа и роли в ИТ-проектах	
5	Проекты внедрения бизнес-приложений для корпоративного управления	
6	Теория и практика реализации проектных решений.	
7	Качество и риски ИТ-проекта. Мировая и отечественная практика	
8	Практика  реализации ИТ-проектов и развитие методов управления ИТ-проектами	","Цель изучения дисциплины «Основы управления ИТ-проектами» – дать слушателям знания о состоянии, использовании и тенденциях развития управления проектами в сфере информационных технологий.Программа предусматривает комплексный подход к изучению управления ИТ-проектами, включая исторические аспекты проектной деятельности, классификацию проектов, жизненный цикл проекта, субъекты, инструменты и стандарты управления проектами, процессы и функциональные области управления проектами, а также классификацию и особенности ИТ-проектов. Также в рамках дисциплины изучаются особенности управления проектами разработки и развития программных систем.Задачами изучения дисциплины «Основы управления ИТ-проектами» являются приобретение обучаемыми знаний, умений и практических навыков в области, определяемой целями дисциплины, в том числе:изучение основ управления проектами;изучение особенностей управления ИТ-проектами;получение навыков управления проектами на учебном примере."
11,0,Безопасность жизнедеятельности,"рациональные условия жизнедеятельности
теоретические основы безопасности жизнедеятельности в системе «человек - среда обитания» 
идентификацию и анатомо-физиологические последствия воздействия на человека травмирующих, вредных и поражающих факторов 
средства и методы повышения безопасности социальной среды
методы прогнозирования чрезвычайных ситуаций роль психологического состояния человека в проблеме безопасности
принципы оказания первой медицинской помощи","разрабатывать мероприятия по повышению безопасности трудовой и производственной (социально-экономической) деятельности
эффективно применять средства защиты от негативных воздействий 
разрабатывать алгоритмы действий в чрезвычайных ситуациях природного, социального, техногенного и медико-биологического характера.
Разрабатывать мероприятия по повышению безопасности трудовой и производственной (социально-экономической) деятельности
эффективно применять средства защиты от негативных воздействий 
Разрабатывать алгоритмы действий в чрезвычайных ситуациях природного, социального, техногенного и медико-биологического характера.
 ","законодательными и правовыми актами в области безопасности жизнедеятельности
средствами и методами укрепления индивидуального здоровья, физического самосовершенствования для успешной социально-культурной и профессиональной деятельности.устный опрос и/или тест и/или доклад (по выбору обучающихся, либо преподавателя)  
приемами первой медицинской помощи
основными методами защиты производственного персонала и населения от возможных последствий аварий, катастроф, стихийных бедствий.
законодательными и правовыми актами в области безопасности жизнедеятельности 
Средствами и методами укрепления индивидуального здоровья, физического самосовершенствования для успешной социально-культурной и профессиональной деятельности.

","1	Теоретические основы безопасности жизнедеятельности 	
2	Причины возникновения чрезвычайных ситуаций и действия населения при них	
3	Безопасные условия труда на производстве	
4	Первая помощь при несчастных случаях и помощь пострадавшим в условиях ЧС","Целью изучения дисциплины является формирование у студентов знаний, умений и навыков, по обеспечению безопасности в повседневной жизни, в чрезвычайных и угрожающих ситуациях; на воспитание сознательного и ответственного отношения к вопросам личной безопасности и безопасности окружающих; на получение студентами основополагающих знаний и умений, которые позволят им не только распознавать и оценивать опасные ситуации, факторы риска среды обитания, определять способы защиты от них, а также ликвидировать негативные последствия и оказывать само- и взаимопомощь в случае проявления опасностей.Задачи:1. Ознакомиться с необходимыми индивидуальными мерами безопасности в повседневной жизни и трудовой деятельности, в опасных и чрезвычайных ситуациях природного, социального и техногенного характера;2. Сформировать культуру профессиональной безопасности, а также способность для идентификации опасностей и оценки риска в сфере своей профессиональной деятельности;3. Сформировать и развить навыки оценки обстановки и принятия целесообразных решений;4. Освоить правила и навыки защиты, позволяющие минимизировать возможный ущерб личности, обществу и окружающей среде в опасных и чрезвычайных ситуациях;5. Приобрести умения и навыки оказания первой помощи пострадавшим от возможных последствий аварий, катастроф, стихийных бедствий."
12,0,Физика,,,,"1	Механика (кинематика, динамика, статика)
2	Термодинамика	
3	Теория колебаний и волн
4	Электричество
5     Оптика","Цель дисциплины состоит в формировании у студентов математических специальностей естественнонаучного мировоззрения.Основные задачи дисциплины:Изучение студентами основных понятий и законов физики.Знакомство с основными методами исследования, используемыми в физике."
13,0,Гибкое управление проектами,,,,"Анализ проблемы и разработка концепции проекта.	
Организация работы проектной команды","Целью преподавания дисциплины является формирование у бакалавра комплекса знаний, умений, навыков и профессионально важных качеств, необходимых для эффективной организации системной работы в проектной команде, навыка поиска и анализа бизнес-идей в сфере информационных технологий.Задачами изучения дисциплины являются:Изучение технологий и инструментов анализа проблемы и разработки проектного решения.Изучение технологий и инструментов контроля задач в команде.Освоение техники внутрикомандной коммуникации в рамках гибкой технологии управления.Практическое закрепление навыков на основе учебного проекта. "
14,0,Интернет-технологии,"о способах развёртывания web-серверов.
процесс разработки web-ресурсов, виды субд для web-разработки.
Основные источники справочных материалов по курсу.
 ","выбирать и устанавливать программное обеспечение для web-ресурсов  проектировать и реализовывать ит-сервисы предприятия в сети интернет, использовать субд, основанные на sql.
Находить нужную информацию для самостоятельной работы по курсу.
 ","навыками работы в редакторах html, css, php, js, приёмами организации базы данных для интернет-приложений. ","Проектирование, макетирование, дизайн, вёрстка.
Разработка серверной части на PHP.
Разработка клиентской части на JavaScript.
Фреймворки, библиотеки	","Целью преподавания дисциплины является освоение студентами современных интернет-технологий, используемых при разработке web-ресурсов и сервисов.Задачи курса:изучение программных средств для разработки web-ресурсов;знакомство с процессом создания web-страниц, сайтов и порталов;изучение процесса проектирования и реализации внешней и внутренней частей web-ресурсов;знакомство с библиотеками и фреймворками, являющимися, де-факто, стандартном разработки web-ресурсов;ознакомление с процессом размещения и сопровождения ресурсов в сети Интернет."
15,0,Функциональное и логическое программирование  ,,,,"Введение в предметную область дисциплины	
Классификация и кластеризация данных. Распознавание образов.	
Нейронные сети","Целью дисциплины «Функциональное и логическое программирование» является формирование информационной культуры специалиста и изучение теоретических основ, принципов построения  и организации функционирования современных интеллектуальных систем  различного назначения и способов их эффективного применения.Задачей данного курса является приобретение студентами знаний, умений и навыков, позволяющих им выбрать, настроить  и использовать, а также спроектировать и реализовать интеллектуальные системы, способные эффективно решать различные информационные задачи. "
16,0,Теория автоматов и формальных языков  ,"основные и наиболее популярные программные продукты, позволяющие проектировать автоматы и имитировать их результаты из работы
 ","устанавливать, настраивать и использовать программное обеспечение, подходящее для решения задач
 ",навыками использования программных средств для моделирования автоматов ,"Теория автоматов
Теория формальных языков","Концептуальной основой программирования на любом языке является понимание терминов «алгоритм» и «алгоритмизация». Разработка и исследование алгоритмов, а также программ, реализующих данные алгоритмы, напрямую связано с изучением основ теории формальных языков и грамматик.  Целью курса «Теория автоматов и формальных языков» является ознакомление студентов с основными понятиями, предметной областью, устройством и содержанием теории автоматов и теории формальных языков.Задачи курса:формализация понятия алгоритма, изучение математических формальных моделей описания алгоритмов;изучение общих методов анализа и синтеза автоматов;изучение методов построения структур автоматов;исследование основных принципов создания формальных грамматик."
17,0,Линейная алгебра и аналитическая геометрия,,,,"Основные алгебраические структуры	
Элементы аналитической геометрии	
Линейная алгебра","Целью курса линейной алгебры и аналитической геометрии является изучение основных алгебраических и геометрических понятий, их взаимосвязи и развития, а также отвечающих им методов расчёта, используемых для анализа, моделирования и решения прикладных задач. В задачи курса линейной алгебры входят: Развитие алгоритмического и логического мышления студентов.Овладение методами исследования и решения математических задач.Выработка у студентов умения самостоятельно расширять свои математические знания и проводить математический анализ прикладных задач."
18,0,Информационные технологии в анализе рынка ценных бумаг,"методы анализа рынка ценных бумаг основные средства получения и обработки информации о финансовых рынках
 ","применять методы анализа рынка ценных бумаг и принимать на основе анализа решения получать и обрабатывать информацию поступающую с рынков ценных бумаг
 ",навыками анализа рынков ценных бумаг ,"Виды ценных бумаг и их важнейшие характеристики	
Учёт инфляции в операциях с ценными бумагами	
Корпоративные ценные бумаги
Оценка эффективности долгосрочных вложений в ценные бумаги
Инфраструктура рынка ценных бумаг. Фондовая биржа	
Государственные и муниципальные ценные бумаги.
Банки как профессиональные участники рынка ценных бумаг","Целью изучении дисциплины ""Информационные технологии в анализе рынка ценных бумаг"" является формирование у студентов целостной системы знаний о рынках ценных бумаг, изучение понятийно-терминологического аппарата, характеризующего сущность и содержание анализа финансовых рынков, а также раскрытие механизмов направляющих цену в том или ином направлении движения.Задачи курса:Сформировать базовые знания и навыки, необходимые для квалифицированного анализа движения эмитентов на рынке ценных бумаг используя современные информационные технологии."
19,0,Компьютерная графика,,"использовать графические пакеты при выполнении чертежей и схем пользоваться библиотеками sdl, opengl
Решать графическим способом задачи, связанные с формой и взаимным расположением пространственных фигур определять форму детали по чертежу строить аксонометрические проекции деталей использовать графические пакеты при выполнении чертежей и схем применять методы и алгоритмы компьютерной графики для решения практических задач. ","выполнением чертежей с применением компьютерной графики методами и средствами разработки и оформления технической документации методами решения конкретных задач различного типа в области  визуализации и компьютерной графики, навыками разработки программ для решения задач компьютерной графики навыками разработки программных комплексов на языке программирования с/c++ знать  теорию построения и преобразования чертежей пространственных фигур, принципы организации, структуры технических средств систем компьютерной графики основные методы и алгоритмы формирования и преобразования изображений графические пакеты для создания моделей объектов алгоритмы компьютерной графики инструментальные средства программирования в области компьютерной графики языки программирования с/c++, библиотеки sdl, opengl.
 ","Введение в компьютерную геометрию и графику. Векторная графика. 	
Геометрические преобразования в векторной графике. Растровая графика. Обработка растровых изображений. Цвет	
Программирование  SDL. Алгоритмы 3D графики. ОpenGL	","Цель дисциплины: дать комплексное представление о методологии компьютерной графики и ее применении при всестороннем изучении профессиональных дисциплин по направлению «Фундаментальная информатика и информационные технологии».Задачи дисциплины: 1. Вооружить студентов знаниями, умениями, навыками формирования графической грамотности, ее использования для получения обоснованной системы по проектированию технических объектов и изготовлению конструкторской документации.2. Дать представление о понятиях и научных категориях курса. "
20,0,Инженерия знаний и интеллектуальные системы,"ключевые термины в области искусственного интеллекта и интеллектуальных систем (ис) основные методики формализации и представления данных
методики и алгоритмы обработки, представления, анализа данных, представленных различными способами и с разной степенью формализации
Основные методы разработки интеллектуальных систем и специфику актуальных проблемных областей теоретические положения для построения интеллектуальных систем, предназначенных для решения различных задач
 ","извлекать знания из экспертов, текстов, а также других различных источников информации выбирать соответственно поставленной задаче и использовать изученные ранее программные способы обработки и хранения информации  собирать и анализировать статистические данные, являющиеся основой для построения интеллектуальной системы  использовать современные программно-инструментальные продукты при разработке и внедрении ис использовать методы организации интеллектуальных систем и получить практические навыки для их построения в целях решения различных задач ",,"Обработка и анализ данных
Интеллектуальные системы	
","Целью дисциплины «Инженерия знаний и интеллектуальные системы» является формирование информационной культуры специалиста и изучение теоретических основ, принципов построения  и организации функционирования современных интеллектуальных систем  различного назначения и способов их эффективного применения.Задачей данного курса является приобретение студентами знаний, умений и навыков, позволяющих им выбрать, настроить  и использовать, а также спроектировать и реализовать интеллектуальные системы, способные эффективно решать различные информационные задачи."
21,0,Сети и телекоммуникации,"основные определения вычислительных систем, сетей, телекоммуникаций, сетевые топологии, среды передачи информации  концепцию построения корпоративных сетей, основные протоколы обеспечивающие работу корпоративных сетей.
Концепцию построения корпоративных сетей, основные протоколы обеспечивающие работу корпоративных сетей основные возможности сетевых утилит различных операционных систем.
 ","применять основные средства управления и работой операционных систем проектировать элементы корпоративных сетей.  осуществлять настройку основных сетевых сервисов применять утилиты операционных систем в сетевых взаимодействиях.
 ","навыками работы в системе graphical network simulator 3, навыками работы с сетевыми устройствами cisco, dlink. ","Фундаментальные основы компьютерных сетей
Коммутация в локальных сетях и беспроводные сети	
Маршрутизация. Протоколы маршрутизации","Целью преподавания дисциплины является формирование у студентов понимания важности применения и развития вычислительных систем, сетей и телекоммуникаций в современных технологиях как объективной закономерности информационного общества, а также обучить студентов общим принципам построения вычислительных систем различных архитектур, принципам организации и характеристикам составных элементов персонального компьютера, принципам и технологиям организации систем передачи данных.Задачами изучения дисциплины являются:анализ состояния и тенденций развития вычислительной техники;преподать основы функционирования вычислительных систем и принципам, положенных в основу работы систем передачи данных; изучить характеристики и режимы работы основных функциональных узлов и устройств вычислительных систем, сетей и телекоммуникаций; приобретение студентами навыков проектирования, конфигурирования и практического применения вычислительных систем и комплексов.ознакомление с инструментом симуляции сетей GNS3;научиться строить сети в инструменте , используя различное сетевое оборудование. "
