id,code,profstandard_id,name,qualification_level
61,C,5,"Управление проектами в области ИТ любого масштаба
в условиях высокой неопределенности, вызываемой запросами на изменения и рисками, и с учетом влияния организационного окружения проекта; разработка новых инструментов и методов управления проектами в области ИТ",8
62,A,6,Непосредственное руководство процессами разработки программного обеспечения,6
63,B,6,Организация процессов разработки программного обеспечения,6
64,C,6,"Управление программно-техническими, технологическими и человеческими ресурсами",7
65,A,26,"Монтаж оборудования связи (телекоммуникаций), линейно-кабельных сооружений",6
66,B,26,"Эксплуатация оборудования связи (телекоммуникаций), линейно-кабельных сооружений",6
67,C,26,Организация эксплуатации оборудования связи (телекоммуникаций),7
68,D,26,Планирование и оптимизация развития сети связи,7
69,A,7,Оформление и компоновка технических документов,4
70,B,7,"Разработка пользовательских документов, а также стандартных технических документов на основе предоставленного материала",5
71,C,7,Разработка документов информационно-маркетингового назначения,6
72,D,7,"Разработка технических документов, адресованных специалисту по информационным технологиям",6
73,E,7,Руководство рабочей группой технических писателей (специалистов по технической документации в ИТ),6
74,F,7,Технологическая поддержка подготовки технических публикаций,7
75,G,7,Руководство отделом технического документирования,7
76,H,7,Руководство функциональным подразделением технической коммуникации,8
77,A,27,"Монтаж, эксплуатационно-техническое обслуживание кабелей связи емкостью до 100 пар",2
78,B,27,"Монтаж, эксплуатационно-техническое обслуживание кабелей связи емкостью до 300 пар",2
79,C,27,"Монтаж, эксплуатационно-техническое обслуживание кабелей связи емкостью до 600 пар",2
80,D,27,"Монтаж, эксплуатационно-техническое обслуживание кабелей связи емкостью более 600 пар",3
81,E,27,Монтаж и обслуживание местных волоконно-оптических линий связи,3
82,F,27,Монтаж и обслуживание волоконно-оптических линий связи,3
83,A,28,Профилактические осмотры АМС и АФС ремонтно-профилактическая работа по их обслуживанию,3
84,B,28,"Монтаж АМС и АФС, их проверка, регулировка и текущий ремонт",4
85,C,28,"Руководство и выполнение работ на АМС до 25 м, обеспечение работоспособности аппаратуры и приборов",5
86,D,28,"Руководство и выполнение работ на АМС свыше 25 м, проверка, регулировка и текущий ремонт АМС сложной конструкции",6
87,A,8,Разработка и сопровождение требований к отдельным функциям системы,4
88,B,8,Создание и сопровождение требований и технических заданий на разработку и модернизацию систем и подсистем малого и среднего масштаба и сложности,5
89,C,8,"Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности",6
90,D,8,Управление аналитическими работами и подразделением,7
91,A,29,Обслуживание телефонной связи,3
92,B,29,Обслуживание телеграфной связи,3
93,C,29,Обслуживание радиосвязи,4
94,A,30,Работа с первичными обращениями клиентов по вопросам технической эксплуатации инфокоммуникационных систем и/или их составляющих,3
95,B,30,"Руководство группой специалистов по приему заявок на техническую поддержку
инфокоммуникационных систем и/или их составляющих",6
96,C,30,"Устранение, по обращениям клиентов, возникших проблем при установке и эксплуатации аппаратного, программного и программно-аппаратного обеспечения
инфокоммуникационньгх систем и/или их составляющих",6
97,D,30,Руководство группой специалистов по выполнению заявок на техническую поддержку инфокоммуникационньгх систем и/или их составляющих,7
98,A,9,Подготовка интерфейсной графики,4
99,B,9,Графический дизайн интерфейса,6
100,C,9,Проектирование пользовательских интерфейсов по готовому образцу или концепции интерфейса,6
101,D,9,Юзабилити-исследование программных продуктов и/или аппаратных средств,6
102,E,9,"Проектирование сложных
пользовательских
интерфейсов",7
103,F,9,Экспертный анализ эргономических характеристик программных продуктов и/или аппаратных средств,7
104,A,10,Администрирование структурированной кабельной системы (СКС),4
105,B,10,"Администрирование
прикладного
программного
обеспечения
инфокоммуникационной
системы организации",5
106,C,10,Управление программно-аппаратными средствами информационных служб инфокоммуникационной системы организации,6
107,D,10,Администрирование сетевой подсистемы инфокоммуникационной системы организации,6
108,E,10,"Администрирование систем управления базами данных
инфокоммуникационной системы организации",7
109,F,10,Администрирование системного программного обеспечения инфокоммуникационной системы организации,7
110,G,10,Управление развитием инфокоммуникационной системы организации,7
111,A,11,Администрирование процесса установки сетевых устройств инфокоммуникационных систем,4
112,B,11,Администрирование процесса конфигурирования сетевых устройств и программного обеспечения,5
113,C,11,Администрирование процесса контроля производительности сетевых устройств и программного обеспечения,6
114,D,11,Администрирование процесса управления безопасностью сетевых устройств и программного обеспечения,6
115,E,11,Проведение регламентных работ на сетевых устройствах и программном обеспечении инфокоммуникационной системы,6
116,F,11,Администрирование процесса поиска и диагностики ошибок сетевых устройств и программного обеспечения,7
117,A,12,Разработка компонентов системных программных продуктов,6
118,B,12,Разработка систем управления базами данных,7
119,C,12,Разработка операционных систем,7
120,D,12,Организация разработки системного программного обеспечения,7
121,E,12,Интеграция разработанного системного программного обеспечения,7
122,A,13,"Осуществление вспомогательных функций при поиске клиентов, подготовке и продаже
инфокоммуникационных систем и/или их составляющих",5
123,B,13,"Продажа типовых решений по
инфокоммуникационным системам и/или их составляющим",6
124,C,13,Продажа нетиповых и комплексных решений по инфокоммуникационным системам и/или их составляющим,6
125,D,13,Продажа ключевым клиентам инфокоммуникационных систем и/или их составляющих и управление проектной группой по осуществлению сделки,7
126,E,13,"Руководство продажами организации, формирование сбытовой политики в части инфокоммуникационных систем и/или их составляющих",7
127,F,13,"Руководство коммерческой деятельностью организации, формирование стратегии организации по продаже инфокоммуникационных систем и/или их составляющих",8
128,A,31,Выполнение комплекса мер по обеспечению функционирования СССЭ (за исключением сетей связи специального назначения) и средств их защиты от НСД,5
129,B,31,Обеспечение защиты от НСД сооружений и СССЭ (за исключением сетей связи специального назначения) в процессе их эксплуатации,6
130,C,31,Обеспечение функционирования средств связи сетей связи специального назначения,6
131,D,31,Разработка средств защиты СССЭ (за исключением сетей связи специального назначения) от НСД,7
132,E,31,Обеспечение защиты средств связи сетей связи специального назначения от НСД,7
133,F,31,Управление развитием средств и систем защиты СССЭ от НСД,7
134,G,31,Экспертиза проектных решений в сфере защиты СССЭ от НСД,8
135,A,32,Применение ИАС в защищенном исполнении в процессах АИАД,7
136,B,32,Проектирование ИАС в защищенном исполнении,7
137,C,32,Эксплуатация ИАС в защищенном исполнении,7
138,D,32,Организационное управление в ИАС в защищенном исполнении,7
139,E,32,Проведение исследований в области эффективных технологий АИАД,8
140,A,33,Обслуживание средств защиты информации в компьютерных системах и сетях,5
141,B,33,Администрирование средств защиты информации в,6
142,C,33,Оценивание уровня безопасности компьютерных систем и сетей,7
143,D,33,Разработка программно-аппаратных средств защиты информации,8
144,A,34,Обслуживание систем защиты информации в автоматизированных системах,5
145,B,34,Обеспечение защиты информации в автоматизированных системах в процессе их эксплуатации,6
146,C,34,Внедрение систем защиты информации автоматизированных систем,6
147,D,34,Разработка систем защиты информации автоматизированных,7
148,E,34,Формирование требований к защите информации в автоматизированных системах,8
149,A,35,Проведение работ по установке и техническому обслуживанию средств защиты информации,5
150,B,35,Проведение работ по установке и техническому обслуживанию защищенных технических средств обработки информации,6
151,C,35,"Производство, сервисное обслуживание и ремонт средств защиты информации",6
152,D,35,Проведение контроля защищенности информации,6
153,E,35,Разработка средств защиты информации,7
154,F,35,Проектирование объектов в защищенном исполнении,7
155,G,35,Проведение аттестации объектов на соответствие требованиям по защите информации,7
156,H,35,Проведение сертификационных испытаний средств защиты информации на соответствие требованиям по безопасности информации,7
157,I,35,Организация и проведение работ по технической защите информации,8
158,A,19,Техническая поддержка процессов создания (модификации) и сопровождения информационных ресурсов,4
159,B,19,Выполнение работ по созданию (модификации) и сопровождению информационных ресурсов,5
160,C,19,Управление работами по созданию (модификации) и сопровождению информационных ресурсов,6
161,D,19,Управление процессами и проектами по созданию (модификации) информационных ресурсов,7
162,A,36,Обслуживание абонентского (терминального) телекоммуникационного оборудования,3
163,B,36,Обслуживание линейного телекоммуникационного оборудования,4
164,C,36,Обслуживание станционного телекоммуникационного оборудования,5
165,A,37,Поддержка сетевых устройств программно-конфигурируемых информационно-коммуникационных (инфокоммуникационных) сетей,5
166,B,37,Проведение регламентных работ на сетевых устройствах и операционных системах программно-конфигурируемых инфокоммуникационных сетей,5
167,C,37,Оптимизация использования ресурсов сетевых устройств и операционных систем программно-конфигурируемых инфокоммуникационных сетей,6
168,D,37,Поддержка процесса диагностики и устранение ошибок сетевых устройств и операционных систем программно-конфигурируемых инфокоммуникационных сетей,7
169,A,38,Выполнение комплекса подготовительных работ по монтажу телекоммуникационного оборудования,3
170,B,38,Выполнение работ по монтажу телекоммуникационного оборудования,4
171,C,38,Комплексная проверка монтажа телекоммуникационной системы,5
172,A,39,"Администрирование услуги ""Телевидение по протоколу Интернета""",5
173,B,39,"Администрирование услуги ""Доставка видеосигнала от провайдера контента на устройство пользователя по сетям передачи данных без прямого контакта с оператором связи""",6
174,C,39,Планирование продаж видеоуслуг через информационно-телекоммуникационную сеть Интернет,7
175,A,40,Контроль качества функционирования информационно-коммуникационных систем,5
176,B,40,Анализ результатов контроля качества функционирования информационно-коммуникационных систем и сервисов,6
177,C,40,Разработка методик и систем автоматизированного контроля и мониторинга функционирования информационно-коммуникационных систем,7
178,A,21,Техническая поддержка процессов сопровождения интеграционных решений,4
179,B,21,Техническая поддержка процессов создания (модификации) интеграционных решений,5
180,C,21,Выполнение работ по созданию (модификации) и сопровождению интеграционных решений,6
181,D,21,Выполнение работ и управление работами по созданию (модификации) и сопровождению интеграционных решений,7
